,choice0,choice1,question,ans,context,country
512,No. This sentence is false.,Yes. This sentence is true.,Kenyan people usually eat food with fork.Is this sentence true?,1,food and drink,Kenya
513,Yes. This sentence is true.,No. This sentence is false.,"In traditional Chinese funerals, the color of people’s dressing is usually white.Is this sentence true?",0,funeral,China
514,No. This sentence is false.,Yes. This sentence is true.,The staple food in China is vegetable.Is this sentence true?,0,food and drink,China
515,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for height in India is inch.Is this sentence true?,1,measurement unit,India
516,Yes. This sentence is true.,No. This sentence is false.,"In China 30 years ago, the train was the most popular means of transportation in the big cities.Is this sentence true?",1,transportation,China
517,No. This sentence is false.,Yes. This sentence is true.,The unit of height in India is feet.Is this sentence true?,1,measurement unit,India
518,No. This sentence is false.,Yes. This sentence is true.,People usually drive by sticking to the right hand side in India.Is this sentence true?,0,keep left/right,India
519,Yes. This sentence is true.,No. This sentence is false.,It is rare in China for people to clean the floor with brooms.Is this sentence true?,1,broom usage,China
520,Yes. This sentence is true.,No. This sentence is false.,"Normally when driving in China, people stick to the left hand side.Is this sentence true?",1,keep left/right,China
521,No. This sentence is false.,Yes. This sentence is true.,In the United States it is common for customers to tip after a meal.Is this sentence true?,1,payment,United States
522,Yes. This sentence is true.,No. This sentence is false.,The falling share price in Kenya will be represented by the color green.Is this sentence true?,1,stock price,Kenya
523,Yes. This sentence is true.,No. This sentence is false.,Iran's most popular sport is football.Is this sentence true?,1,sports,Iran
524,Yes. This sentence is true.,No. This sentence is false.,The year after the month appears in Kenyan date format.Is this sentence true?,0,date format,Kenya
525,Yes. This sentence is true.,No. This sentence is false.,volleyball is the United States's most popular sport.Is this sentence true?,1,sports,United States
526,No. This sentence is false.,Yes. This sentence is true.,The Indian people dry their wet clothes in the machines.Is this sentence true?,0,drying clothes,India
527,No. This sentence is false.,Yes. This sentence is true.,American people usually take shower in the morning.Is this sentence true?,1,shower time,United States
528,Yes. This sentence is true.,No. This sentence is false.,noodles is Kenya's staple food.Is this sentence true?,1,food and drink,Kenya
529,Yes. This sentence is true.,No. This sentence is false.,"In China, year appears before month in the date format.Is this sentence true?",0,date format,China
530,Yes. This sentence is true.,No. This sentence is false.,basketball is the United States's most popular sport.Is this sentence true?,0,sports,United States
531,Yes. This sentence is true.,No. This sentence is false.,People usually drive by sticking to the right hand side in China.Is this sentence true?,0,keep left/right,China
532,No. This sentence is false.,Yes. This sentence is true.,The Indian usually eat food with hand.Is this sentence true?,1,food and drink,India
533,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for weight in the United States is kilogram.Is this sentence true?,0,measurement unit,United States
534,Yes. This sentence is true.,No. This sentence is false.,The unit of height in China is inch.Is this sentence true?,1,measurement unit,China
535,No. This sentence is false.,Yes. This sentence is true.,basketball is Kenya's most popular sport.Is this sentence true?,0,sports,Kenya
536,Yes. This sentence is true.,No. This sentence is false.,The staple food in India is noodles.Is this sentence true?,1,food and drink,India
537,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, it is common that adults live with their parents.Is this sentence true?",1,family,Kenya
538,Yes. This sentence is true.,No. This sentence is false.,The staple food in Kenya is bread.Is this sentence true?,1,food and drink,Kenya
539,No. This sentence is false.,Yes. This sentence is true.,The main staple food in India is vegetable.Is this sentence true?,0,food and drink,India
540,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in Iran is soccer.Is this sentence true?,1,sports,Iran
541,Yes. This sentence is true.,No. This sentence is false.,The main staple food in India is maize.Is this sentence true?,1,food and drink,India
542,Yes. This sentence is true.,No. This sentence is false.,"In traditional Persian funerals, the color of people’s dressing is usually black.Is this sentence true?",0,funeral,Iran
543,No. This sentence is false.,Yes. This sentence is true.,It is rare in Iran to have domestic help.Is this sentence true?,1,servant,Iran
544,Yes. This sentence is true.,No. This sentence is false.,It is common to have domestic help in Kenya.Is this sentence true?,1,servant,Kenya
545,No. This sentence is false.,Yes. This sentence is true.,The Indian usually take a shower in the evening.Is this sentence true?,0,shower time,India
546,Yes. This sentence is true.,No. This sentence is false.,The falling share price in India will be represented by the color red.Is this sentence true?,0,stock price,India
547,Yes. This sentence is true.,No. This sentence is false.,"In Kenya 30 years ago, the bus was the most popular means of transportation in the big cities.Is this sentence true?",0,transportation,Kenya
548,Yes. This sentence is true.,No. This sentence is false.,baseball is China's most popular sport.Is this sentence true?,1,sports,China
549,Yes. This sentence is true.,No. This sentence is false.,Iran's most popular sport is athletics.Is this sentence true?,1,sports,Iran
550,No. This sentence is false.,Yes. This sentence is true.,The temperature measurement unit in China is Celsius.Is this sentence true?,1,measurement unit,China
551,No. This sentence is false.,Yes. This sentence is true.,The driver's seat of a car is on the right in the United States.Is this sentence true?,0,driver seat,United States
552,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in Kenya is soccer.Is this sentence true?,0,sports,Kenya
553,No. This sentence is false.,Yes. This sentence is true.,The unit of weight in India is pound.Is this sentence true?,0,measurement unit,India
554,No. This sentence is false.,Yes. This sentence is true.,Kenyan people usually take shower in the morning.Is this sentence true?,1,shower time,Kenya
555,Yes. This sentence is true.,No. This sentence is false.,People usually keep right when driving in China.Is this sentence true?,0,keep left/right,China
556,Yes. This sentence is true.,No. This sentence is false.,"In China, the most popular mode of transportation in big cities 30 years ago was car.Is this sentence true?",1,transportation,China
557,Yes. This sentence is true.,No. This sentence is false.,"In Iran, the unit of weight is the kilogram.Is this sentence true?",0,measurement unit,Iran
558,No. This sentence is false.,Yes. This sentence is true.,Month appears after year in Chinese date format.Is this sentence true?,1,date format,China
559,No. This sentence is false.,Yes. This sentence is true.,"In China, it is rare to see that people drink hot water.Is this sentence true?",0,food and drink,China
560,No. This sentence is false.,Yes. This sentence is true.,It is common in the United States to have domestic help.Is this sentence true?,0,servant,United States
561,Yes. This sentence is true.,No. This sentence is false.,athletics is China's most popular sport.Is this sentence true?,1,sports,China
562,No. This sentence is false.,Yes. This sentence is true.,At traditional Chinese funerals the color of the clothing is usually red.Is this sentence true?,0,funeral,China
563,No. This sentence is false.,Yes. This sentence is true.,The Chinese usually eat food with spoon.Is this sentence true?,0,food and drink,China
564,Yes. This sentence is true.,No. This sentence is false.,The Chinese normally eat food with chopsticks.Is this sentence true?,0,food and drink,China
565,No. This sentence is false.,Yes. This sentence is true.,Month appears before year in Chinese date format.Is this sentence true?,0,date format,China
566,No. This sentence is false.,Yes. This sentence is true.,The unit of measuring height is inch in United States.Is this sentence true?,1,measurement unit,United States
567,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement of weight in China is kilogram.Is this sentence true?,1,measurement unit,China
568,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in the United States is football.Is this sentence true?,1,sports,United States
569,Yes. This sentence is true.,No. This sentence is false.,The dropping stock price will be represented by color white in India.Is this sentence true?,1,stock price,India
570,Yes. This sentence is true.,No. This sentence is false.,The unit of weight in Kenya is kilogram.Is this sentence true?,0,measurement unit,Kenya
571,No. This sentence is false.,Yes. This sentence is true.,At traditional Chinese funerals the color of people's clothing is usually white.Is this sentence true?,1,funeral,China
572,Yes. This sentence is true.,No. This sentence is false.,The American dry their wet cloths in the sun.Is this sentence true?,1,drying clothes,United States
573,No. This sentence is false.,Yes. This sentence is true.,soccer is the United States's most popular sport.Is this sentence true?,0,sports,United States
574,Yes. This sentence is true.,No. This sentence is false.,The staple food in Iran is rice.Is this sentence true?,0,food and drink,Iran
575,No. This sentence is false.,Yes. This sentence is true.,"In United States, year appears before month in the date format.Is this sentence true?",0,date format,United States
576,No. This sentence is false.,Yes. This sentence is true.,"In traditional American weddings, the color of wedding dress is usually black.Is this sentence true?",0,wedding,United States
577,No. This sentence is false.,Yes. This sentence is true.,"In the United States 30 years ago, the train was the most popular means of transport in large cities.Is this sentence true?",0,transportation,United States
578,Yes. This sentence is true.,No. This sentence is false.,In China year after month appears in date format.Is this sentence true?,1,date format,China
579,Yes. This sentence is true.,No. This sentence is false.,The unit of measuring weight is pound in China.Is this sentence true?,1,measurement unit,China
580,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for height is centimeter in China.Is this sentence true?,1,measurement unit,China
581,No. This sentence is false.,Yes. This sentence is true.,The staple food in Iran is vegetable.Is this sentence true?,0,food and drink,Iran
582,Yes. This sentence is true.,No. This sentence is false.,"Normally, Kenyan dry their wet cloths in the machines.Is this sentence true?",1,drying clothes,Kenya
583,Yes. This sentence is true.,No. This sentence is false.,In the United States year before month appears in date format.Is this sentence true?,1,date format,United States
584,Yes. This sentence is true.,No. This sentence is false.,In traditional Iranian weddings the color of the wedding dress is usually white.Is this sentence true?,0,wedding,Iran
585,Yes. This sentence is true.,No. This sentence is false.,It is rare to have household servants in Kenya. Is this sentence true?,0,servant,Kenya
586,Yes. This sentence is true.,No. This sentence is false.,At traditional Chinese weddings the color of the wedding dress is usually green.Is this sentence true?,1,wedding,China
587,Yes. This sentence is true.,No. This sentence is false.,At traditional Kenyan funerals the color of the clothing is usually red.Is this sentence true?,1,funeral,Kenya
588,No. This sentence is false.,Yes. This sentence is true.,It is common to have household servants in India. Is this sentence true?,1,servant,India
589,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for height in India is meter.Is this sentence true?,0,measurement unit,India
590,No. This sentence is false.,Yes. This sentence is true.,At traditional Chinese funerals the color of people's clothing is usually black.Is this sentence true?,0,funeral,China
591,Yes. This sentence is true.,No. This sentence is false.,badminton is the United States's most popular sport.Is this sentence true?,1,sports,United States
592,Yes. This sentence is true.,No. This sentence is false.,"In Kenya 30 years ago, the car was the most popular means of transport in large cities.Is this sentence true?",0,transportation,Kenya
593,Yes. This sentence is true.,No. This sentence is false.,Most of Kenya is in tropical zones.Is this sentence true?,0,climate,Kenya
594,No. This sentence is false.,Yes. This sentence is true.,In China it is rare for customers to tip after eating.Is this sentence true?,1,payment,China
595,No. This sentence is false.,Yes. This sentence is true.,Most of Kenya is in temperate zones.Is this sentence true?,0,climate,Kenya
596,Yes. This sentence is true.,No. This sentence is false.,"In the United States, the unit of weight is the pound.Is this sentence true?",0,measurement unit,United States
597,No. This sentence is false.,Yes. This sentence is true.,At traditional American funerals the colour of people's clothing is usually red.Is this sentence true?,0,funeral,United States
598,Yes. This sentence is true.,No. This sentence is false.,The main food in Iran is vegetable.Is this sentence true?,1,food and drink,Iran
599,No. This sentence is false.,Yes. This sentence is true.,Chinese people normally shower in the evening.Is this sentence true?,1,shower time,China
600,No. This sentence is false.,Yes. This sentence is true.,Domestic servants are rare in Iran.Is this sentence true?,1,servant,Iran
601,Yes. This sentence is true.,No. This sentence is false.,"In India 30 years ago, the car was the most popular means of transportation in major cities.Is this sentence true?",1,transportation,India
602,No. This sentence is false.,Yes. This sentence is true.,In Kenya year before month appears in date format.Is this sentence true?,0,date format,Kenya
603,No. This sentence is false.,Yes. This sentence is true.,In China the declining share price is represented by the color white.Is this sentence true?,0,stock price,China
604,No. This sentence is false.,Yes. This sentence is true.,It is common to see household servants in China.Is this sentence true?,0,servant,China
605,No. This sentence is false.,Yes. This sentence is true.,In traditional Chinese weddings the color of the bridal dress is usually red.Is this sentence true?,1,wedding,China
606,No. This sentence is false.,Yes. This sentence is true.,American people usually eat food with knife.Is this sentence true?,1,food and drink,United States
607,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for height in India is centimeter.Is this sentence true?,0,measurement unit,India
608,No. This sentence is false.,Yes. This sentence is true.,"In China 30 years ago, the train was the most popular means of transport in large cities.Is this sentence true?",0,transportation,China
609,No. This sentence is false.,Yes. This sentence is true.,"In United States, it is common that people use broom to clean the floor.Is this sentence true?",1,broom usage,United States
610,Yes. This sentence is true.,No. This sentence is false.,"In Iran, weddings usually last for more than one day.Is this sentence true?",1,wedding,Iran
611,No. This sentence is false.,Yes. This sentence is true.,"In United States, month appears before year in the date format.Is this sentence true?",1,date format,United States
612,Yes. This sentence is true.,No. This sentence is false.,Kenya's most popular sport is football.Is this sentence true?,1,sports,Kenya
613,No. This sentence is false.,Yes. This sentence is true.,"In India, it is common for people to share their food when they go to eat.Is this sentence true?",1,food and drink,India
614,No. This sentence is false.,Yes. This sentence is true.,China's most popular sport is volleyball.Is this sentence true?,0,sports,China
615,No. This sentence is false.,Yes. This sentence is true.,The staple food in Kenya is vegetable.Is this sentence true?,1,food and drink,Kenya
616,No. This sentence is false.,Yes. This sentence is true.,The rising share price will be represented in Kenya by the color black.Is this sentence true?,0,stock price,Kenya
617,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in Kenya is baseball.Is this sentence true?,1,sports,Kenya
618,No. This sentence is false.,Yes. This sentence is true.,Iran's most popular sport is tabletennis.Is this sentence true?,0,sports,Iran
619,Yes. This sentence is true.,No. This sentence is false.,In Kenya wedding ceremony usually lasts more than a day.Is this sentence true?,1,wedding,Kenya
620,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in Kenya is tabletennis.Is this sentence true?,0,sports,Kenya
621,Yes. This sentence is true.,No. This sentence is false.,"In India 30 years ago, the car was the most popular means of transport in large cities.Is this sentence true?",1,transportation,India
622,No. This sentence is false.,Yes. This sentence is true.,The Iranian normally eat food with knife.Is this sentence true?,0,food and drink,Iran
623,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, it is common that customers will pay tips after the meal.Is this sentence true?",1,payment,Kenya
624,Yes. This sentence is true.,No. This sentence is false.,"In the United States, it is common for people to drink hot water.Is this sentence true?",1,food and drink,United States
625,No. This sentence is false.,Yes. This sentence is true.,At traditional Iranian funerals the color of clothing is usually red.Is this sentence true?,0,funeral,Iran
626,Yes. This sentence is true.,No. This sentence is false.,It is rare in the United States to have domestic help.Is this sentence true?,0,servant,United States
627,Yes. This sentence is true.,No. This sentence is false.,It is rare to have household servants in the United States. Is this sentence true?,0,servant,United States
628,Yes. This sentence is true.,No. This sentence is false.,Year appears after month in American date format.Is this sentence true?,0,date format,United States
629,No. This sentence is false.,Yes. This sentence is true.,In traditional Indian weddings the color of the wedding dress is usually black.Is this sentence true?,0,wedding,India
630,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for height is inch in Kenya.Is this sentence true?,1,measurement unit,Kenya
631,No. This sentence is false.,Yes. This sentence is true.,Chinese people usually take shower in the morning.Is this sentence true?,0,shower time,China
632,No. This sentence is false.,Yes. This sentence is true.,"In India, it is common to see people drink hot water.Is this sentence true?",0,food and drink,India
633,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color white in Kenya.Is this sentence true?,1,stock price,Kenya
634,Yes. This sentence is true.,No. This sentence is false.,The Kenyan normally eat food with fork.Is this sentence true?,0,food and drink,Kenya
635,Yes. This sentence is true.,No. This sentence is false.,Chinese people usually dry their wet clothes in the sun.Is this sentence true?,0,drying clothes,China
636,Yes. This sentence is true.,No. This sentence is false.,People usually keep right when driving in Iran.Is this sentence true?,0,keep left/right,Iran
637,Yes. This sentence is true.,No. This sentence is false.,The driver's seat of a car is on the right hand side in India.Is this sentence true?,0,driver seat,India
638,Yes. This sentence is true.,No. This sentence is false.,Iranian usually eat food with spoon.Is this sentence true?,0,food and drink,Iran
639,No. This sentence is false.,Yes. This sentence is true.,"In traditional Hindu weddings, the color of wedding dress is usually white.Is this sentence true?",0,wedding,India
640,Yes. This sentence is true.,No. This sentence is false.,The main staple food in Iran is noodles.Is this sentence true?,1,food and drink,Iran
641,No. This sentence is false.,Yes. This sentence is true.,"Normally when driving in India, people stick to the left hand side.Is this sentence true?",1,keep left/right,India
642,No. This sentence is false.,Yes. This sentence is true.,"In Kenya 30 years ago, the bicycle was the most popular means of transportation in major cities.Is this sentence true?",0,transportation,Kenya
643,No. This sentence is false.,Yes. This sentence is true.,"In India, the rising share price will be represented by the color red.Is this sentence true?",0,stock price,India
644,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, it is common for people to share food when they go out.Is this sentence true?",1,food and drink,Kenya
645,Yes. This sentence is true.,No. This sentence is false.,In Kenya wedding ceremony typically lasts more than one day.Is this sentence true?,1,wedding,Kenya
646,No. This sentence is false.,Yes. This sentence is true.,"In China, the rising share price will be represented by the color white.Is this sentence true?",0,stock price,China
647,No. This sentence is false.,Yes. This sentence is true.,The Indian usually eat food with fork.Is this sentence true?,0,food and drink,India
648,No. This sentence is false.,Yes. This sentence is true.,"In Kenya 30 years ago, the train was the most popular means of transport in large cities.Is this sentence true?",0,transportation,Kenya
649,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in the United States is badminton.Is this sentence true?,0,sports,United States
650,Yes. This sentence is true.,No. This sentence is false.,The driver's seat of a car is on the right in India.Is this sentence true?,0,driver seat,India
651,Yes. This sentence is true.,No. This sentence is false.,It is common in Iran for people to clean the floor with brooms.Is this sentence true?,1,broom usage,Iran
652,No. This sentence is false.,Yes. This sentence is true.,The Chinese dry their wet cloths in the sun.Is this sentence true?,1,drying clothes,China
653,Yes. This sentence is true.,No. This sentence is false.,At traditional Indian weddings the color of the wedding dress is usually white.Is this sentence true?,1,wedding,India
654,No. This sentence is false.,Yes. This sentence is true.,Most of China is in tropical areas.Is this sentence true?,0,climate,China
655,Yes. This sentence is true.,No. This sentence is false.,The main food in India is bread.Is this sentence true?,0,food and drink,India
656,No. This sentence is false.,Yes. This sentence is true.,Indian people usually eat food with spoon.Is this sentence true?,1,food and drink,India
657,No. This sentence is false.,Yes. This sentence is true.,Domestic servants are rare in the United States.Is this sentence true?,1,servant,United States
658,Yes. This sentence is true.,No. This sentence is false.,The unit of measuring height is feet in China.Is this sentence true?,1,measurement unit,China
659,Yes. This sentence is true.,No. This sentence is false.,India's most popular sport is football.Is this sentence true?,1,sports,India
660,Yes. This sentence is true.,No. This sentence is false.,In Kenya the declining share price is represented by the color green.Is this sentence true?,1,stock price,Kenya
661,Yes. This sentence is true.,No. This sentence is false.,The main staple food in the United States is vegetable.Is this sentence true?,1,food and drink,United States
662,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for weight in Kenya is kilogram.Is this sentence true?,1,measurement unit,Kenya
663,Yes. This sentence is true.,No. This sentence is false.,"In the United States, it is rare for people to share food when they go out to eat.Is this sentence true?",0,food and drink,United States
664,No. This sentence is false.,Yes. This sentence is true.,Kenyan people usually dry their wet clothes in the sun.Is this sentence true?,1,drying clothes,Kenya
665,No. This sentence is false.,Yes. This sentence is true.,The driver's seat of a car is located on the left in Kenya.Is this sentence true?,0,driver seat,Kenya
666,No. This sentence is false.,Yes. This sentence is true.,The staple food in Iran is bread.Is this sentence true?,1,food and drink,Iran
667,No. This sentence is false.,Yes. This sentence is true.,The staple food in India is rice.Is this sentence true?,1,food and drink,India
668,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, people usually eat food with spoon.Is this sentence true?",0,food and drink,Kenya
669,Yes. This sentence is true.,No. This sentence is false.,"In traditional Kenyan funerals, the color of people’s dressing is usually white.Is this sentence true?",1,funeral,Kenya
670,Yes. This sentence is true.,No. This sentence is false.,"In the United States, the rising share price will be represented by the color green.Is this sentence true?",0,stock price,United States
671,No. This sentence is false.,Yes. This sentence is true.,cricket is India's most popular sport.Is this sentence true?,1,sports,India
672,No. This sentence is false.,Yes. This sentence is true.,At traditional American funerals the color of clothing is usually green.Is this sentence true?,0,funeral,United States
673,No. This sentence is false.,Yes. This sentence is true.,"In China 30 years ago, the car was the most popular means of transportation in major cities.Is this sentence true?",0,transportation,China
674,Yes. This sentence is true.,No. This sentence is false.,"In Iran, it is common to see that people drink hot water.Is this sentence true?",1,food and drink,Iran
675,No. This sentence is false.,Yes. This sentence is true.,"In the United States 30 years ago, the train was the most popular means of transport in the big cities.Is this sentence true?",0,transportation,United States
676,No. This sentence is false.,Yes. This sentence is true.,"In China, the unit of weight is the kilogram.Is this sentence true?",1,measurement unit,China
677,Yes. This sentence is true.,No. This sentence is false.,The main food in Kenya is noodles.Is this sentence true?,1,food and drink,Kenya
678,No. This sentence is false.,Yes. This sentence is true.,"In China, it is rare for customers to pay tips after eating.Is this sentence true?",1,payment,China
679,Yes. This sentence is true.,No. This sentence is false.,"In Iran 30 years ago, the bus was the most popular means of transport in large cities.Is this sentence true?",1,transportation,Iran
680,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in Kenya is basketball.Is this sentence true?,0,sports,Kenya
681,Yes. This sentence is true.,No. This sentence is false.,The rising stock price will be represented by color white in India.Is this sentence true?,1,stock price,India
682,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in India is tabletennis.Is this sentence true?,1,sports,India
683,Yes. This sentence is true.,No. This sentence is false.,People stick to the right hand side when driving in China.Is this sentence true?,0,keep left/right,China
684,Yes. This sentence is true.,No. This sentence is false.,The staple food in the United States is maize.Is this sentence true?,1,food and drink,United States
685,No. This sentence is false.,Yes. This sentence is true.,"In China, the rising share price will be represented by the color red.Is this sentence true?",1,stock price,China
686,Yes. This sentence is true.,No. This sentence is false.,"Normally when driving in the United States, people stick to the right hand side.Is this sentence true?",0,keep left/right,United States
687,Yes. This sentence is true.,No. This sentence is false.,In China it is rare for people to share food when they go out.Is this sentence true?,1,food and drink,China
688,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it is common for adults to live together with their parents.Is this sentence true?",0,family,Kenya
689,No. This sentence is false.,Yes. This sentence is true.,Most of India is in temperate zones.Is this sentence true?,0,climate,India
690,Yes. This sentence is true.,No. This sentence is false.,"In India, it is common for customers to pay tips after eating.Is this sentence true?",1,payment,India
691,No. This sentence is false.,Yes. This sentence is true.,"In traditional American weddings, the color of wedding dress is usually red.Is this sentence true?",0,wedding,United States
692,No. This sentence is false.,Yes. This sentence is true.,"In United States, it is common that adults live with their parents.Is this sentence true?",0,family,United States
693,No. This sentence is false.,Yes. This sentence is true.,"In traditional American weddings, the color of wedding dress is usually green.Is this sentence true?",0,wedding,United States
694,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in India is cricket.Is this sentence true?,1,sports,India
695,No. This sentence is false.,Yes. This sentence is true.,The staple food in China is maize.Is this sentence true?,0,food and drink,China
696,Yes. This sentence is true.,No. This sentence is false.,In Kenya month after year appears in date format.Is this sentence true?,1,date format,Kenya
697,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in Kenya is soccer.Is this sentence true?,0,sports,Kenya
698,Yes. This sentence is true.,No. This sentence is false.,At traditional Indian weddings the color of the wedding dress is usually green.Is this sentence true?,1,wedding,India
699,Yes. This sentence is true.,No. This sentence is false.,The Iranian normally eat food with spoon.Is this sentence true?,0,food and drink,Iran
700,Yes. This sentence is true.,No. This sentence is false.,The unit of weight in Iran is kilogram.Is this sentence true?,0,measurement unit,Iran
701,Yes. This sentence is true.,No. This sentence is false.,The main staple food in India is noodles.Is this sentence true?,1,food and drink,India
702,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color black in Iran.Is this sentence true?,1,stock price,Iran
703,No. This sentence is false.,Yes. This sentence is true.,The measuring unit for temperature in Kenya is Celsius.Is this sentence true?,1,measurement unit,Kenya
704,No. This sentence is false.,Yes. This sentence is true.,"In traditional Hindu weddings, the color of wedding dress is usually black.Is this sentence true?",0,wedding,India
705,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented in the United States by the color green.Is this sentence true?,1,stock price,United States
706,Yes. This sentence is true.,No. This sentence is false.,The increasing share price is represented by the color black in the United States.Is this sentence true?,1,stock price,United States
707,Yes. This sentence is true.,No. This sentence is false.,"In India, it is common for people to share their food when they eat out.Is this sentence true?",0,food and drink,India
708,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it's common for people to drink hot water.Is this sentence true?",0,food and drink,Kenya
709,No. This sentence is false.,Yes. This sentence is true.,At traditional American funerals the color of the clothing is usually red.Is this sentence true?,0,funeral,United States
710,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for weight in China is kilogram.Is this sentence true?,0,measurement unit,China
711,No. This sentence is false.,Yes. This sentence is true.,"In China 30 years ago, the train was the most popular means of transport in the big cities.Is this sentence true?",0,transportation,China
712,No. This sentence is false.,Yes. This sentence is true.,bread is India's staple food.Is this sentence true?,1,food and drink,India
713,Yes. This sentence is true.,No. This sentence is false.,The most popular sports in United States is basketball.Is this sentence true?,0,sports,United States
714,No. This sentence is false.,Yes. This sentence is true.,In Iran wedding ceremony generally lasts more than a day.Is this sentence true?,0,wedding,Iran
715,Yes. This sentence is true.,No. This sentence is false.,At traditional American funerals the color of people's clothing is usually red.Is this sentence true?,1,funeral,United States
716,No. This sentence is false.,Yes. This sentence is true.,"In India, the unit of weight is the pound.Is this sentence true?",0,measurement unit,India
717,No. This sentence is false.,Yes. This sentence is true.,In China wedding ceremony normally lasts less than a day.Is this sentence true?,1,wedding,China
718,No. This sentence is false.,Yes. This sentence is true.,Kenya's most popular sport is tabletennis.Is this sentence true?,0,sports,Kenya
719,Yes. This sentence is true.,No. This sentence is false.,Most of Iran is located in temperate areas.Is this sentence true?,0,climate,Iran
720,Yes. This sentence is true.,No. This sentence is false.,Year appears after month in Chinese date format.Is this sentence true?,1,date format,China
721,Yes. This sentence is true.,No. This sentence is false.,The main food in Kenya is vegetable.Is this sentence true?,0,food and drink,Kenya
722,Yes. This sentence is true.,No. This sentence is false.,It is common in China for people to clean the floor with brooms.Is this sentence true?,0,broom usage,China
723,Yes. This sentence is true.,No. This sentence is false.,At traditional Indian funerals the color of clothing is usually black.Is this sentence true?,1,funeral,India
724,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented in Kenya by the color black.Is this sentence true?,1,stock price,Kenya
725,No. This sentence is false.,Yes. This sentence is true.,In traditional Indian weddings the color of the wedding dress is usually black.Is this sentence true?,0,wedding,India
726,No. This sentence is false.,Yes. This sentence is true.,It is common in Kenya for people to clean the floor with brooms.Is this sentence true?,1,broom usage,Kenya
727,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in Iran is volleyball.Is this sentence true?,0,sports,Iran
728,No. This sentence is false.,Yes. This sentence is true.,"In Iran 30 years ago, the car was the most popular means of transport in large cities.Is this sentence true?",1,transportation,Iran
729,No. This sentence is false.,Yes. This sentence is true.,Month appears before year in Kenyan date format.Is this sentence true?,1,date format,Kenya
730,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for weight in Iran is kilogram.Is this sentence true?,0,measurement unit,Iran
731,No. This sentence is false.,Yes. This sentence is true.,"In Iran, it is common that customers will pay tips after the meal.Is this sentence true?",0,payment,Iran
732,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it's rare for people to drink hot water.Is this sentence true?",1,food and drink,Kenya
733,No. This sentence is false.,Yes. This sentence is true.,"In the United States, the driver's seat of a car is located on the right.Is this sentence true?",0,driver seat,United States
734,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in India is badminton.Is this sentence true?,1,sports,India
735,Yes. This sentence is true.,No. This sentence is false.,"In United States, it is common that customers will pay tips after the meal.Is this sentence true?",0,payment,United States
736,Yes. This sentence is true.,No. This sentence is false.,The staple food in Kenya is vegetable.Is this sentence true?,0,food and drink,Kenya
737,No. This sentence is false.,Yes. This sentence is true.,In traditional Iranian weddings the color of the bridal dress is usually green.Is this sentence true?,0,wedding,Iran
738,No. This sentence is false.,Yes. This sentence is true.,The rising stock price will be represented by color black in China.Is this sentence true?,0,stock price,China
739,Yes. This sentence is true.,No. This sentence is false.,"In the United States, the unit of weight is the kilogram.Is this sentence true?",1,measurement unit,United States
740,No. This sentence is false.,Yes. This sentence is true.,The unit of height in the United States is inch.Is this sentence true?,1,measurement unit,United States
741,Yes. This sentence is true.,No. This sentence is false.,"In traditional Kenyan weddings, the color of wedding dress is usually white.Is this sentence true?",0,wedding,Kenya
742,Yes. This sentence is true.,No. This sentence is false.,Month appears after year in Indian date format.Is this sentence true?,1,date format,India
743,Yes. This sentence is true.,No. This sentence is false.,American people dry their wet cloths in the machines.Is this sentence true?,0,drying clothes,United States
