,mask,sentence,original prompt,country,context,candidate Ans,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label
297,"In China, it is <mask> for people to share their food when they eat out.","In China, it is common for people to share their food when they eat out.","In China, it is <mask> for people to share their food when they eat out.",China,food and drink,"rare, common",common,common,multiple people,T,False,T
298,In India wedding ceremony normally lasts <mask> than a day.,In India wedding ceremony normally lasts more than a day.,"In India, weddings usually last for <mask> than one day.",India,wedding,"less, more",more,more,Not Reported,Not Reported,True,T
299,At traditional Kenyan weddings the color of the wedding dress is usually <mask>.,At traditional Kenyan weddings the color of the wedding dress is usually violet.,"In traditional Kenyan weddings, the color of wedding dress is usually <mask>.",Kenya,wedding,"red, yellow, blue, orange, green, violet, black, white",white,violet,Not Reported,Not Reported,True,F
300,The temperature measurement unit in India is <mask>.,The temperature measurement unit in India is Celsius.,The unit of measuring temperature is <mask> in India.,India,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,Not Reported,Not Reported,True,T
301,The unit for measuring temperature in Kenya is <mask>.,The unit for measuring temperature in Kenya is Celsius.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,Not Reported,Not Reported,True,T
302,The unit of measurement of weight in Iran is <mask>.,The unit of measurement of weight in Iran is gram.,The unit of measuring weight is <mask> in Iran.,Iran,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,gram,Not Reported,Not Reported,True,F
303,The staple food in Kenya is <mask>.,The staple food in Kenya is bread.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",bread,Maize,1/2,False,F
304,The falling share price is represented in India by the color <mask>.,The falling share price is represented in India by the color violet.,The dropping stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",red,violet,Not Reported,Not Reported,True,F
305,Most of India is in <mask> zones.,Most of India is in dry zones.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,dry,Not Reported,Not Reported,True,F
306,The driver's seat of a car is on the <mask> in Kenya.,The driver's seat of a car is on the right in Kenya.,The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,"right, left, front, back",right,right,Not Reported,Not Reported,True,T
307,Chinese usually eat food with <mask>.,Chinese usually eat food with chopsticks.,Chinese people usually eat food with <mask>.,China,food and drink,"knife, fork, spoon, hand, chopsticks",chopsticks,chopsticks,Not Reported,Not Reported,True,T
308,The falling share price is represented by the color <mask> in the United States.,The falling share price is represented by the color yellow in the United States.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,yellow,Not Reported,Not Reported,True,F
309,At traditional Kenyan funerals the color of people's clothing is usually <mask>.,At traditional Kenyan funerals the color of people's clothing is usually white.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,"red, yellow, blue, orange, green, violet, black, white",black,white,Not Reported,Not Reported,True,F
310,The main food in Iran is <mask>.,The main food in Iran is maize.,The staple food in Iran is <mask>.,Iran,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",maize,Not Reported,Not Reported,True,F
311,In China it is <mask> for adults to live with their parents.,In China it is common for adults to live with their parents.,"In China, it is <mask> that adults live with their parents.",China,family,"rare, common",common,common,Not Reported,Not Reported,True,T
312,In Kenya it is <mask> for adults to live with their parents.,In Kenya it is rare for adults to live with their parents.,"In Kenya, it is <mask> that adults live with their parents.",Kenya,family,"rare, common",rare,rare,Not Reported,Not Reported,True,T
313,The most popular sport in Iran is <mask>.,The most popular sport in Iran is soccer.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",soccer,Not Reported,Not Reported,True,T
314,The measuring unit for the temperature is <mask> in China.,The measuring unit for the temperature is Rankine in China.,The unit of measuring temperature is <mask> in China.,China,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Rankine,Not Reported,Not Reported,True,F
315,"In Iran 30 years ago, the <mask> was the most popular means of transport in the big cities.","In Iran 30 years ago, the ship was the most popular means of transport in the big cities.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,ship,Not Reported,Not Reported,True,F
316,In the United States it is <mask> for people to use brooms to clean the floor.,In the United States it is common for people to use brooms to clean the floor.,"In United States, it is <mask> that people use broom to clean the floor.",United States,broom usage,"rare, common",common,common,Not Reported,Not Reported,True,T
317,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually blue.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,blue,Not Reported,Not Reported,True,F
318,"In Iran, it is <mask> to see people drink hot water.","In Iran, it is common to see people drink hot water.","In Iran, it is <mask> to see people drink hot water.",Iran,food and drink,"rare, common",rare,common,Not Reported,Not Reported,True,F
319,"In Iran, people usually eat food with <mask>.","In Iran, people usually eat food with hand.",Iranian people usually eat food with <mask>.,Iran,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",hand,Not Reported,Not Reported,True,F
320,India's most popular sport is <mask>.,India's most popular sport is basketball.,The most popular sports in India is <mask>.,India,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","cricket, badminton, soccer",basketball,Not Reported,Not Reported,True,F
321,People stick to the <mask> hand side when driving in India.,People stick to the middle hand side when driving in India.,People usually keep <mask> when driving in India.,India,keep left/right,"right, left, middle, anywhere",left,middle,Not Reported,Not Reported,True,F
322,The temperature measurement unit in India is <mask>.,The temperature measurement unit in India is Fahrenheit.,The unit of measuring temperature is <mask> in India.,India,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Not Reported,Not Reported,True,F
323,Indian people normally shower in the <mask>.,Indian people normally shower in the noon.,Indian people usually take shower in the <mask>.,India,shower time,"morning, noon, afternoon, evening",morning,noon,Not Reported,Not Reported,True,F
324,The unit of measurement for height is <mask> in Iran.,The unit of measurement for height is inch in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",inch,Not Reported,Not Reported,True,F
325,Iranian people normally shower in the <mask>.,Iranian people normally shower in the evening.,Iranian people usually take shower in the <mask>.,Iran,shower time,"morning, noon, afternoon, evening",morning,evening,Not Reported,Not Reported,True,F
326,"In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.","In Iran, the most popular mode of transportation in big cities 30 years ago was car.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,car,bicycles,F,False,T
327,At traditional Chinese funerals the color of the clothing is usually <mask>.,At traditional Chinese funerals the color of the clothing is usually yellow.,"In traditional Chinese funerals, the color of people’s dressing is usually <mask>.",China,funeral,"red, yellow, blue, orange, green, violet, black, white",white,yellow,Not Reported,Not Reported,True,F
328,"In traditional Kenyan weddings, the color of wedding dress is usually <mask>.","In traditional Kenyan weddings, the color of wedding dress is usually green.","In traditional Kenyan weddings, the color of wedding dress is usually <mask>.",Kenya,wedding,"red, yellow, blue, orange, green, violet, black, white",white,green,white,T,False,F
329,The staple food in Kenya is <mask>.,The staple food in Kenya is meat.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",meat,Not Reported,Not Reported,True,F
330,In the United States it is <mask> for people to use brooms to clean the floor.,In the United States it is rare for people to use brooms to clean the floor.,"In United States, it is <mask> that people use broom to clean the floor.",United States,broom usage,"rare, common",common,rare,Not Reported,Not Reported,True,F
331,At traditional Kenyan funerals the colour of people's clothing is usually <mask>.,At traditional Kenyan funerals the colour of people's clothing is usually green.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,"red, yellow, blue, orange, green, violet, black, white",black,green,Not Reported,Not Reported,True,F
332,At traditional Iranian funerals the color of people's clothing is usually <mask>.,At traditional Iranian funerals the color of people's clothing is usually orange.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,orange,Not Reported,Not Reported,True,F
333,The rising share price is represented in Iran by the color <mask>.,The rising share price is represented in Iran by the color violet.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,violet,Not Reported,Not Reported,True,F
334,Most of India is in <mask> zones.,Most of India is in polar zones.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,polar,Not Reported,Not Reported,True,F
335,In China month <mask> year appears in date format.,In China month before year appears in date format.,"In China, month appears <mask> year in the date format.",China,date format,"before, after, below, above",after,before,Not Reported,Not Reported,True,F
336,"In Kenya, it is <mask> for people to share their food when they eat out.","In Kenya, it is rare for people to share their food when they eat out.","In Kenya, it is <mask> for people to share their food when they eat out.",Kenya,food and drink,"rare, common",rare,rare,multiple people,F,False,T
337,The unit of measurement of weight in Kenya is <mask>.,The unit of measurement of weight in Kenya is kilogram.,The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,Not Reported,Not Reported,True,T
338,The staple food in Iran is <mask>.,The staple food in Iran is vegetable.,The staple food in Iran is <mask>.,Iran,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",vegetable,rice,1/2,False,F
339,"In China 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In China 30 years ago, the bus was the most popular means of transportation in the big cities.","In China, the most popular mode of transportation in big cities 30 years ago was <mask>.",China,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,bus,Not Reported,Not Reported,True,F
340,People stick to the <mask> hand side when driving in the United States.,People stick to the anywhere hand side when driving in the United States.,People usually keep <mask> when driving in United States.,United States,keep left/right,"right, left, middle, anywhere",right,anywhere,Not Reported,Not Reported,True,F
341,The Kenyan usually take a shower in the <mask>.,The Kenyan usually take a shower in the morning.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,"morning, noon, afternoon, evening",morning,morning,Not Reported,Not Reported,True,T
342,<mask> is India's most popular sport.,athletics is India's most popular sport.,The most popular sports in India is <mask>.,India,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","cricket, badminton, soccer",athletics,Not Reported,Not Reported,True,F
343,In traditional Kenyan weddings the color of the wedding dress is usually <mask>.,In traditional Kenyan weddings the color of the wedding dress is usually black.,"In traditional Kenyan weddings, the color of wedding dress is usually <mask>.",Kenya,wedding,"red, yellow, blue, orange, green, violet, black, white",white,black,Not Reported,Not Reported,True,F
344,The most popular sports in United States is <mask>.,The most popular sports in United States is tabletennis.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","football, basketball, baseball",tabletennis,"The most popular sports in the United States are baseball, basketball, and football.",T,False,F
345,<mask> is China's staple food.,vegetable is China's staple food.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",vegetable,Not Reported,Not Reported,True,F
346,In the United States the declining share price is represented by the color <mask>.,In the United States the declining share price is represented by the color blue.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,blue,Not Reported,Not Reported,True,F
347,"In Iran, it is <mask> for people to share their food when they eat out.","In Iran, it is rare for people to share their food when they eat out.","In Iran, it is <mask> for people to share their food when they eat out.",Iran,food and drink,"rare, common",rare,rare,multiple people,F,False,T
348,The falling share price in Iran will be represented by the color <mask>.,The falling share price in Iran will be represented by the color orange.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",red,orange,Not Reported,Not Reported,True,F
349,The month <mask> the year appears in Kenyan date format.,The month after the year appears in Kenyan date format.,"In Kenya, month appears <mask> year in the date format.",Kenya,date format,"before, after, below, above",before,after,Not Reported,Not Reported,True,F
350,"In India 30 years ago, the <mask> was the most popular means of transport in the big cities.","In India 30 years ago, the bus was the most popular means of transport in the big cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, train",bus,Not Reported,Not Reported,True,T
351,In China the declining share price is represented by the color <mask>.,In China the declining share price is represented by the color yellow.,The dropping stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",green,yellow,Not Reported,Not Reported,True,F
352,"In the United States, it is <mask> to see that people drink hot water.","In the United States, it is rare to see that people drink hot water.","In United States, it is <mask> to see people drink hot water.",United States,food and drink,"rare, common",rare,rare,Not Reported,Not Reported,True,T
353,"In United States, it is <mask> that people use broom to clean the floor.","In United States, it is rare that people use broom to clean the floor.","In United States, it is <mask> that people use broom to clean the floor.",United States,broom usage,"rare, common",common,rare,common,T,False,F
354,In Iran the year <mask> the month appears in date format.,In Iran the year after the month appears in date format.,"In Iran, year appears <mask> month in the date format.",Iran,date format,"before, after, below, above",after,after,Not Reported,Not Reported,True,T
355,"In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.","In Iran, the most popular mode of transportation in big cities 30 years ago was train.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,train,bicycles,F,False,F
356,"In India 30 years ago, the <mask> was the most popular means of transport in large cities.","In India 30 years ago, the train was the most popular means of transport in large cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, train",train,Not Reported,Not Reported,True,T
357,"Normally when driving in Iran, people stick to the <mask> hand side.","Normally when driving in Iran, people stick to the right hand side.",People usually keep <mask> when driving in Iran.,Iran,keep left/right,"right, left, middle, anywhere",right,right,Not Reported,Not Reported,True,T
358,In Kenya the year <mask> the month appears in date format.,In Kenya the year before the month appears in date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,"before, after, below, above",after,before,Not Reported,Not Reported,True,F
359,The measuring unit for temperature in the United States is <mask>.,The measuring unit for temperature in the United States is Celsius.,The unit of measuring temperature is <mask> in United States.,United States,measurement unit,"Fahrenheit, Celsius, Rankine",Fahrenheit,Celsius,Not Reported,Not Reported,True,F
360,In India the year <mask> the month appears in date format.,In India the year below the month appears in date format.,"In India, year appears <mask> month in the date format.",India,date format,"before, after, below, above",after,below,Not Reported,Not Reported,True,F
361,Most of India is in <mask> zones.,Most of India is in continental zones.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,continental,Not Reported,Not Reported,True,F
362,The rising stock price will be represented by color <mask> in Kenya.,The rising stock price will be represented by color violet in Kenya.,The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",green,violet,green,T,False,F
363,At traditional Iranian funerals the color of people's clothing is usually <mask>.,At traditional Iranian funerals the color of people's clothing is usually red.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,red,Not Reported,Not Reported,True,F
364,At traditional Indian funerals the color of the clothing is usually <mask>.,At traditional Indian funerals the color of the clothing is usually red.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,"red, yellow, blue, orange, green, violet, black, white",white,red,Not Reported,Not Reported,True,F
365,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually white.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,white,Not Reported,Not Reported,True,F
366,Most of Iran is in <mask> areas.,Most of Iran is in temperate areas.,Most part of Iran is in <mask> zone.,Iran,climate,"tropical, temperate, dry, continental, polar",temperate,temperate,Not Reported,Not Reported,True,T
367,The unit of measurement for weight in the United States is <mask>.,The unit of measurement for weight in the United States is ounce.,The unit of measuring weight is <mask> in United States.,United States,measurement unit,"ounce, pound, miligram, gram, kilogram",pound,ounce,Not Reported,Not Reported,True,F
368,The temperature measurement unit in the United States is <mask>.,The temperature measurement unit in the United States is Fahrenheit.,The unit of measuring temperature is <mask> in United States.,United States,measurement unit,"Fahrenheit, Celsius, Rankine",Fahrenheit,Fahrenheit,Not Reported,Not Reported,True,T
369,The staple food in United States is <mask>.,The staple food in United States is meat.,The staple food in United States is <mask>.,United States,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",bread,meat,potatoes,F,False,F
370,In China wedding ceremony generally lasts <mask> than a day.,In China wedding ceremony generally lasts less than a day.,"In China, weddings usually last for <mask> than one day.",China,wedding,"less, more",less,less,Not Reported,Not Reported,True,T
371,Most part of Kenya is in <mask> zone.,Most part of Kenya is in tropical zone.,Most part of Kenya is in <mask> zone.,Kenya,climate,"tropical, temperate, dry, continental, polar",tropical,tropical,Tropical ,T,False,T
372,The unit of height is <mask> in Iran.,The unit of height is feet in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",feet,Not Reported,Not Reported,True,F
373,"In China, it is <mask> for people to share their food when they eat out.","In China, it is rare for people to share their food when they eat out.","In China, it is <mask> for people to share their food when they eat out.",China,food and drink,"rare, common",common,rare,multiple people,T,False,F
374,It is <mask> in India for adults to live with their parents.,It is rare in India for adults to live with their parents.,"In India, it is <mask> that adults live with their parents.",India,family,"rare, common",common,rare,Not Reported,Not Reported,True,F
375,"When driving in the United States, people stick to the <mask> hand side.","When driving in the United States, people stick to the middle hand side.",People usually keep <mask> when driving in United States.,United States,keep left/right,"right, left, middle, anywhere",right,middle,Not Reported,Not Reported,True,F
376,The unit of measurement for height in Iran is <mask>.,The unit of measurement for height in Iran is centimeter.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,Not Reported,Not Reported,True,T
377,The unit of height is <mask> in China.,The unit of height is inch in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",inch,Not Reported,Not Reported,True,F
378,The unit of measurement of weight in China is <mask>.,The unit of measurement of weight in China is pound.,The unit of measuring weight is <mask> in China.,China,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,pound,Not Reported,Not Reported,True,F
379,Iranian people usually eat food with <mask>.,Iranian people usually eat food with knife.,Iranian people usually eat food with <mask>.,Iran,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",knife,Iranian people usually eat food with a fork and a knife.,1/2,False,F
380,The dropping stock price will be represented by color <mask> in Kenya.,The dropping stock price will be represented by color orange in Kenya.,The dropping stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",red,orange,red,T,False,F
381,The most popular sports in Iran is <mask>.,The most popular sports in Iran is cricket.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",cricket,"The most popular sports in Iran are soccer, volleyball, and badminton.",T,False,F
382,At traditional American funerals the color of the clothing is usually <mask>.,At traditional American funerals the color of the clothing is usually black.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,"red, yellow, blue, orange, green, violet, black, white",black,black,Not Reported,Not Reported,True,T
383,"In traditional American funerals, the color of people’s dressing is usually <mask>.","In traditional American funerals, the color of people’s dressing is usually white.","In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,"red, yellow, blue, orange, green, violet, black, white",black,white,black,T,False,F
384,The driver's seat of a car is on the <mask> in Iran.,The driver's seat of a car is on the right in Iran.,The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,"right, left, front, back",left,right,Not Reported,Not Reported,True,F
385,"In the United States 30 years ago, the <mask> was the most popular means of transportation in major cities.","In the United States 30 years ago, the bicycle was the most popular means of transportation in major cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,bicycle,Not Reported,Not Reported,True,F
386,Iran's most popular sport is <mask>.,Iran's most popular sport is badminton.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",badminton,Not Reported,Not Reported,True,F
387,"In China, it's <mask> for people to drink hot water.","In China, it's rare for people to drink hot water.","In China, it is <mask> to see people drink hot water.",China,food and drink,"rare, common",common,rare,Not Reported,Not Reported,True,F
388,The year <mask> the month appears in Indian date format.,The year before the month appears in Indian date format.,"In India, year appears <mask> month in the date format.",India,date format,"before, after, below, above",after,before,Not Reported,Not Reported,True,F
389,"In Iran, people usually eat food with <mask>.","In Iran, people usually eat food with fork.",Iranian people usually eat food with <mask>.,Iran,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",fork,Not Reported,Not Reported,True,T
390,The main food in Kenya is <mask>.,The main food in Kenya is potato.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",potato,Not Reported,Not Reported,True,F
391,The measuring unit for temperature in China is <mask>.,The measuring unit for temperature in China is Fahrenheit.,The unit of measuring temperature is <mask> in China.,China,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Not Reported,Not Reported,True,F
392,The unit of measuring height is <mask> in India.,The unit of measuring height is millimeter in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",millimeter,meter,1/4,False,F
393,The measuring unit for the temperature is <mask> in Kenya.,The measuring unit for the temperature is Fahrenheit in Kenya.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Not Reported,Not Reported,True,F
394,The unit of measuring temperature is <mask> in Iran.,The unit of measuring temperature is Celsius in Iran.,The unit of measuring temperature is <mask> in Iran.,Iran,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,Celsius,T,False,T
395,The rising stock price will be represented by color <mask> in Iran.,The rising stock price will be represented by color white in Iran.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,white,green,T,False,F
396,In Iran it is <mask> for customers to tip after a meal.,In Iran it is common for customers to tip after a meal.,"In Iran, it is <mask> that customers will pay tips after the meal.",Iran,payment,"rare, common",rare,common,Not Reported,Not Reported,True,F
397,Month appears <mask> year in Kenyan date format.,Month appears below year in Kenyan date format.,"In Kenya, month appears <mask> year in the date format.",Kenya,date format,"before, after, below, above",before,below,Not Reported,Not Reported,True,F
398,At traditional Iranian funerals the color of people's clothing is usually <mask>.,At traditional Iranian funerals the color of people's clothing is usually black.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,black,Not Reported,Not Reported,True,T
399,The unit of measurement for height is <mask> in India.,The unit of measurement for height is kilometer in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",kilometer,Not Reported,Not Reported,True,F
400,The rising stock price will be represented by color <mask> in China.,The rising stock price will be represented by color green in China.,The rising stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,green,F,False,F
401,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is basketball.,The most popular sports in Kenya is <mask>.,Kenya,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, athletics",basketball,Not Reported,Not Reported,True,F
402,The measuring unit for the temperature is <mask> in Kenya.,The measuring unit for the temperature is Celsius in Kenya.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,Not Reported,Not Reported,True,T
403,The most popular sport in Iran is <mask>.,The most popular sport in Iran is football.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",football,Not Reported,Not Reported,True,F
404,"In the United States 30 years ago, the <mask> was the most popular means of transport in large cities.","In the United States 30 years ago, the ship was the most popular means of transport in large cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,ship,Not Reported,Not Reported,True,F
405,Year appears <mask> month in Chinese date format.,Year appears before month in Chinese date format.,"In China, year appears <mask> month in the date format.",China,date format,"before, after, below, above",before,before,Not Reported,Not Reported,True,T
406,The unit for measuring temperature in India is <mask>.,The unit for measuring temperature in India is Celsius.,The unit of measuring temperature is <mask> in India.,India,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,Not Reported,Not Reported,True,T
407,"When driving in Iran, people stick to the <mask> hand side.","When driving in Iran, people stick to the right hand side.",People usually keep <mask> when driving in Iran.,Iran,keep left/right,"right, left, middle, anywhere",right,right,Not Reported,Not Reported,True,T
408,At traditional Chinese funerals the color of the clothing is usually <mask>.,At traditional Chinese funerals the color of the clothing is usually green.,"In traditional Chinese funerals, the color of people’s dressing is usually <mask>.",China,funeral,"red, yellow, blue, orange, green, violet, black, white",white,green,Not Reported,Not Reported,True,F
409,The Chinese usually take a shower in the <mask>s.,The Chinese usually take a shower in the mornings.,Chinese people usually take shower in the <mask>.,China,shower time,"morning, noon, afternoon, evening",evening,morning,Not Reported,Not Reported,True,F
410,"In India, it is <mask> to see that people drink hot water.","In India, it is rare to see that people drink hot water.","In India, it is <mask> to see people drink hot water.",India,food and drink,"rare, common",rare,rare,Not Reported,Not Reported,True,T
411,The unit of measuring temperature is <mask> in Kenya.,The unit of measuring temperature is Fahrenheit in Kenya.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Celsius,T,False,F
412,"In India, it is <mask> that adults live with their parents.","In India, it is rare that adults live with their parents.","In India, it is <mask> that adults live with their parents.",India,family,"rare, common",common,rare,It is common for adults to live with their parents in India.,T,False,F
413,The main food in China is <mask>.,The main food in China is bread.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",bread,Not Reported,Not Reported,True,F
414,"In Kenya, the unit of weight is the <mask>.","In Kenya, the unit of weight is the ounce.",The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,ounce,Not Reported,Not Reported,True,F
415,The increasing share price is represented by the color <mask> in China.,The increasing share price is represented by the color green in China.,The rising stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,Not Reported,Not Reported,True,F
416,"When driving in China, people stick to the <mask> hand side.","When driving in China, people stick to the right hand side.",People usually keep <mask> when driving in China.,China,keep left/right,"right, left, middle, anywhere",right,right,Not Reported,Not Reported,True,T
417,In traditional Chinese weddings the color of the wedding dress is usually <mask>.,In traditional Chinese weddings the color of the wedding dress is usually orange.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,"red, yellow, blue, orange, green, violet, black, white",red,orange,Not Reported,Not Reported,True,F
418,"In China, it is <mask> for people to share food when they go out.","In China, it is common for people to share food when they go out.","In China, it is <mask> for people to share their food when they eat out.",China,food and drink,"rare, common",common,common,Not Reported,Not Reported,True,T
