,choice0,choice1,choice2,question,ans,context,country
384,meter,inch,feet, What is the unit of height in Kenya?,1,measurement unit,Kenya
385,fork,chopsticks,knife, What do Iranians usually eat for their food?,1,food and drink,Iran
386,bicycle,plane,metro, What was the most popular means of transportation in Iran 30 years ago?,0,transportation,Iran
387,back,front,left, Where is the driver's seat located in the United States?,2,driver seat,United States
388,more,less,none, How long does a wedding in Iran last?,0,wedding,Iran
389,black,red,white, What color will represent the falling share price in Kenya?,1,stock price,Kenya
390,blue,black,violet, What color will the stock price in Iran be represented by?,1,stock price,Iran
391,yellow,red,black, What color is the dressing of a funeral in the United States?,1,funeral,United States
392,temperate,polar,dry, What type of zone does most of Kenya lie in?,0,climate,Kenya
393,bus,train,bicycle, What was the most popular means of transport in Kenya 30 years ago?,0,transportation,Kenya
394,below,above,after, What happens after the month?,2,date format,Kenya
395,noon,afternoon,morning, What time of day do Americans usually take a shower?,2,shower time,United States
396,before,below,above," In Iran, year appears before what month?",0,date format,Iran
397,black,white,red, What color is the falling share price represented by in China?,2,stock price,China
398,noon,afternoon,evening, When do Iranians usually take a shower?,2,shower time,Iran
399,violet,red,green, What color is the wedding dress in Kenya?,2,wedding,Kenya
400,maize,noodles,rice, What is the staple food in China?,1,food and drink,China
401,white,black,violet, What color is the wedding dress in most American weddings?,0,wedding,United States
402,baseball,soccer,cricket, What is Kenya's most popular sport?,0,sports,Kenya
403,rare,odd,common, Is it rare or rare for customers to tip after eating?,0,payment,India
404,basketball,baseball,cricket, What is the most popular sport in the US?,2,sports,United States
405,before,after,above," In India, year appears before what month?",0,date format,India
406,before,after,above, What happens after the month?,1,date format,Iran
407,spoon,knife,chopsticks, What do Kenyans normally eat?,2,food and drink,Kenya
408,centimeter,kilometer,feet, What is the unit of height in the United States?,2,measurement unit,United States
409,anywhere,middle,right, What do people usually keep when driving in the United States?,2,keep left/right,United States
410,car,train,metro, What was the most popular mode of transportation in the US 30 years ago?,1,transportation,United States
411,afternoon,noon,morning, When do Chinese people normally shower?,2,shower time,China
412,pound,ounce,kilogram, What is the unit of weight in the United States?,0,measurement unit,United States
413,odd,common,rare, Is sharing food rare or rare in Kenya?,2,food and drink,Kenya
414,odd,common,rare, Is it common to see household servants in India?,1,servant,India
415,white,red,green, What color will represent the falling share price in Iran?,2,stock price,Iran
416,rare,common,odd, How often does Kenya have domestic help?,0,servant,Kenya
417,yard,feet,meter, What is the unit of measurement for height in Iran?,2,measurement unit,Iran
418,volleyball,athletics,cricket, What is India's most popular sport?,0,sports,India
419,Fahrenheit,Rankine,Celsius, What is the unit of measurement for China's temperature?,2,measurement unit,China
420,hand,fork,spoon, What do Chinese people usually eat food with?,1,food and drink,China
421,common,rare,odd, How often do adults in India live with their parents?,1,family,India
422,above,after,below, What is the year after the month in Kenya?,1,date format,Kenya
423,before,below,above, What year does Iran use to indicate the month?,0,date format,Iran
424,mile,inch,meter, What is the unit of measurement in India?,1,measurement unit,India
425,right,left,middle, What side of the road do people in India stick to?,1,keep left/right,India
426,violet,white,black, What color is the dressing of a funeral in the United States?,2,funeral,United States
427,spoon,hand,chopsticks, What do Indians usually eat?,0,food and drink,India
428,bread,meat,fruit, What is the main food in the United States?,0,food and drink,United States
429,football,baseball,athletics, What is the most popular sport in China?,1,sports,China
430,green,white,black, What color is the wedding dress in Kenya?,2,wedding,Kenya
431,black,violet,yellow, What color is the Chinese stock market?,0,stock price,China
432,basketball,soccer,volleyball, What is Iran's most popular sport?,0,sports,Iran
433,odd,common,rare, Is it rare or rare for adults to live with their parents in the United States?,2,family,United States
434,odd,rare,common, Is it rare or rare for Indians to pay tips after a meal?,1,payment,India
435,soccer,badminton,baseball, What is the most popular sport in China?,2,sports,China
436,none,more,less, How long do Chinese weddings last?,2,wedding,China
437,before,after,above, What month in Iran appears in date format?,0,date format,Iran
438,anywhere,middle,left, What side of the road do people in China usually stick to?,2,keep left/right,China
439,meat,rice,maize, What is the staple food in China?,2,food and drink,China
440,black,orange,green, What color is the falling share price represented by in China?,2,stock price,China
441,Fahrenheit,Rankine,Celsius, What is the temperature unit in Kenya?,0,measurement unit,Kenya
442,odd,rare,common, Is it common for adults to stay with their parents in the US?,2,family,United States
443,baseball,football,athletics, What is the most popular sport in the US?,0,sports,United States
444,rice,noodles,fruit, What is the staple food in Kenya?,1,food and drink,Kenya
445,yellow,orange,black, What color is the dressing of traditional Indian funerals?,2,funeral,India
446,violet,green,blue, What color is Kenya's share price represented by?,1,stock price,Kenya
447,none,more,less, How long does a wedding typically last in the United States?,2,wedding,United States
448,black,white,orange, What color is the share price represented by in Kenya?,0,stock price,Kenya
449,odd,common,rare, Is drinking hot water common or common in China?,1,food and drink,China
450,volleyball,athletics,baseball, What is the most popular sport in Kenya?,1,sports,Kenya
451,meat,noodles,bread, What is the staple food in China?,1,food and drink,China
452,football,cricket,volleyball, What is the most popular sport in the US?,1,sports,United States
453,common,rare,odd, Is it common for adults to live with their parents in India?,0,family,India
454,hand,chopsticks,knife, What do Iranians usually eat food with?,0,food and drink,Iran
455,baseball,cricket,basketball, What is the most popular sport in Kenya?,1,sports,Kenya
456,odd,rare,common, Is drinking hot water common in India?,2,food and drink,India
457,cricket,football,baseball, What is the most popular sport in the United States?,0,sports,United States
458,knife,chopsticks,spoon, What do Americans normally eat?,1,food and drink,United States
459,back,right,left," In Kenya, the driver seat is on which side?",1,driver seat,Kenya
460,yellow,violet,white, What color will represent the rising stock price in China?,2,stock price,China
461,fork,hand,chopsticks, What do Chinese people usually eat?,2,food and drink,China
462,evening,afternoon,noon, When do Americans normally shower?,0,shower time,United States
463,red,yellow,black, What color is the wedding dress in Kenya?,2,wedding,Kenya
464,bicycle,ship,bus, What was the most popular means of transport in Iran 30 years ago?,0,transportation,Iran
465,left,right,back, Where is the driver's seat located in China?,0,driver seat,China
466,knife,chopsticks,fork, What do Indians usually use to eat food?,0,food and drink,India
467,pound,kilogram,ounce, What is the unit of measurement in Kenya?,1,measurement unit,Kenya
468,green,violet,black, What color is the share price represented by in Kenya?,2,stock price,Kenya
469,kilometer,centimeter,meter, What is the unit of height in India?,2,measurement unit,India
470,badminton,soccer,football, What is the most popular sport in India?,1,sports,India
471,volleyball,athletics,tabletennis, What is the most popular sport in the United States?,2,sports,United States
472,common,rare,odd, Is it rare or rare to see people drink hot water in Iran?,1,food and drink,Iran
473,meter,kilometer,yard, What is the unit of measurement for height in the United States?,0,measurement unit,United States
474,common,rare,odd, Is it common for Iranians to pay a tip after eating?,0,payment,Iran
475,orange,yellow,white, What color is the wedding dress in traditional Chinese weddings?,2,wedding,China
476,green,yellow,black, What color is Iran's share price represented by?,0,stock price,Iran
477,green,black,white, What color will represent the rising share price in Iran?,1,stock price,Iran
478,fruit,noodles,bread, What is the staple food in India?,1,food and drink,India
479,football,athletics,baseball, What is the most popular sport in Iran?,2,sports,Iran
480,bathroom,machines,sun, What do Kenyans dry their clothes in?,2,drying clothes,Kenya
481,common,rare,odd, Is it common or common for people in the US to clean the floor with brooms?,0,broom usage,United States
482,maize,vegetable,bread, What is Iran's staple food?,2,food and drink,Iran
483,machines,bathroom,sun, Where do Americans normally dry their wet cloths?,0,drying clothes,United States
484,green,red,yellow, What color is the clothing of Chinese funerals usually?,1,funeral,China
485,hand,knife,fork, What do people in Iran usually eat food with?,1,food and drink,Iran
486,left,middle,anywhere, What side of the road do people in China stick to?,0,keep left/right,China
487,blue,orange,white, What color is the wedding dress in Kenya?,2,wedding,Kenya
488,common,rare,odd, How often do household servants come to the United States?,1,servant,United States
489,rare,common,odd, How often do Kenyans clean their floors with brooms?,0,broom usage,Kenya
490,white,green,violet, What color is Kenya's share price?,0,stock price,Kenya
491,kilogram,pound,miligram, What is the unit of weight in India?,0,measurement unit,India
492,potato,rice,vegetable, What is the main food in Kenya?,1,food and drink,Kenya
493,odd,common,rare, How often do people in India clean their floors with brooms?,2,broom usage,India
494,basketball,football,soccer, What is the most popular sport in the US?,2,sports,United States
495,common,odd,rare, Is it common or common for customers to pay tips after a meal?,0,payment,China
496,tabletennis,basketball,cricket, What is the most popular sport in Kenya?,0,sports,Kenya
497,fruit,potato,rice, What is the main food in the United States?,2,food and drink,United States
498,common,odd,rare, Is it rare or rare for adults to live with their parents in China?,2,family,China
499,anywhere,right,middle, What side of Iran do Iranians usually drive?,1,keep left/right,Iran
500,red,black,white, What color is the share price in Kenya?,0,stock price,Kenya
501,machines,sun,bathroom, Where do Americans usually dry their clothes?,0,drying clothes,United States
502,common,rare,odd, Is sharing food rare or rare in China?,1,food and drink,China
503,bathroom,machines,sun, Where do Kenyans dry their clothes?,1,drying clothes,Kenya
504,hand,spoon,knife, What do Iranians usually eat?,1,food and drink,Iran
505,ship,bus,metro, What was the most popular means of transport in Kenya 30 years ago?,1,transportation,Kenya
506,centimeter,mile,yard, What is the unit of height in India?,0,measurement unit,India
507,dry,temperate,continental, What type of climate is Kenya?,1,climate,Kenya
508,green,white,red, What color is the clothing at funerals?,0,funeral,United States
509,noodles,bread,rice, What is India's staple food?,2,food and drink,India
510,machines,bathroom,sun, Where do Kenyans usually dry their clothes?,0,drying clothes,Kenya
511,violet,red,green, What color is the clothing of Kenyans usually?,1,funeral,Kenya
512,chopsticks,knife,fork, What do Kenyans usually eat food with?,2,food and drink,Kenya
513,green,black,white, What color is the dressing of a traditional Chinese funeral?,2,funeral,China
514,fruit,rice,vegetable, What is the staple food in China?,2,food and drink,China
515,feet,inch,yard, What is the unit of measurement for height in India?,1,measurement unit,India
516,metro,train,boat, What was the most popular means of transportation in China 30 years ago?,1,transportation,China
517,inch,kilometer,feet, What is the unit of height in India?,2,measurement unit,India
518,middle,right,anywhere," In India, what side of the road do people usually drive?",1,keep left/right,India
519,odd,rare,common, How often do people in China clean their floors with brooms?,1,broom usage,China
520,middle,right,left, What side of the road do people usually stick to when driving in China?,2,keep left/right,China
521,common,odd,rare, Is tipping common or not?,0,payment,United States
522,white,orange,green, What color will represent the falling share price in Kenya?,2,stock price,Kenya
523,athletics,tabletennis,football, What is Iran's most popular sport?,2,sports,Iran
524,above,after,below, What is the year after the month?,1,date format,Kenya
525,tabletennis,volleyball,soccer, What is the most popular sport in the United States?,1,sports,United States
526,bathroom,machines,sun, Where do Indians dry their clothes?,1,drying clothes,India
527,evening,afternoon,morning, When do Americans usually take a shower?,2,shower time,United States
528,meat,noodles,rice, What is Kenya's staple food?,1,food and drink,Kenya
529,below,after,before," In China, year appears before what month?",2,date format,China
530,football,cricket,basketball, What is the most popular sport in the United States?,2,sports,United States
531,right,middle,anywhere, What side of the road do people usually drive on?,0,keep left/right,China
532,hand,knife,spoon, What do Indians usually eat food with?,0,food and drink,India
533,kilogram,gram,pound, What is the unit of measurement for weight in the United States?,0,measurement unit,United States
534,meter,inch,mile, What is the unit of height in China?,1,measurement unit,China
535,football,volleyball,basketball, What is Kenya's most popular sport?,2,sports,Kenya
536,noodles,rice,maize, What is the staple food in India?,0,food and drink,India
537,odd,rare,common, Is it common for adults to live with their parents in Kenya?,2,family,Kenya
538,maize,rice,bread, What is the staple food in Kenya?,2,food and drink,Kenya
539,noodles,potato,vegetable, What is the main staple food in India?,2,food and drink,India
540,volleyball,basketball,soccer, What is the most popular sport in Iran?,2,sports,Iran
541,potato,bread,maize, What is the main staple food in India?,2,food and drink,India
542,violet,white,black, What color is the dressing of a traditional Persian funeral?,2,funeral,Iran
543,common,odd,rare, How often does Iran have domestic help?,2,servant,Iran
544,common,rare,odd, Is domestic help common in Kenya?,0,servant,Kenya
545,morning,noon,evening, When do Indians usually take a shower?,2,shower time,India
546,black,orange,red, What color will represent the falling share price in India?,2,stock price,India
547,ship,car,bus, What was the most popular means of transportation in Kenya 30 years ago?,2,transportation,Kenya
548,football,baseball,badminton, What is the most popular sport in China?,1,sports,China
549,athletics,volleyball,soccer, What is Iran's most popular sport?,0,sports,Iran
550,Celsius,Fahrenheit,Rankine, What is the temperature unit in China?,0,measurement unit,China
551,left,back,right," In the United States, where is the driver's seat located?",2,driver seat,United States
552,basketball,tabletennis,soccer, What is the most popular sport in Kenya?,2,sports,Kenya
553,ounce,pound,kilogram, What is the unit of weight in India?,1,measurement unit,India
554,morning,noon,evening, What time of day do Kenyans usually take a shower?,0,shower time,Kenya
555,right,middle,anywhere, What do people usually keep when driving in China?,0,keep left/right,China
556,car,plane,boat, What was the most popular mode of transportation in China 30 years ago?,0,transportation,China
557,kilogram,miligram,gram, What is Iran's unit of weight?,0,measurement unit,Iran
558,above,before,after, What happens after the month?,2,date format,China
559,odd,rare,common, Is it rare or rare to see people drink hot water in China?,1,food and drink,China
560,odd,common,rare, Is domestic help common or common in the US?,1,servant,United States
561,athletics,badminton,baseball, What is the most popular sport in China?,0,sports,China
562,blue,red,green, What color is the clothing at traditional Chinese funerals?,1,funeral,China
563,hand,spoon,chopsticks, What do the Chinese usually eat?,1,food and drink,China
564,knife,chopsticks,spoon, What do the Chinese normally eat?,1,food and drink,China
565,after,before,above, When does month appear in Chinese date format?,1,date format,China
566,millimeter,inch,yard, What is the unit of measurement in the United States?,1,measurement unit,United States
567,pound,kilogram,miligram, What is the unit of measurement of weight in China?,1,measurement unit,China
568,athletics,football,basketball, What is the most popular sport in the US?,1,sports,United States
569,white,violet,orange, What color will represent the dropping stock price in India?,0,stock price,India
570,gram,kilogram,pound, What is the unit of weight in Kenya?,1,measurement unit,Kenya
571,orange,white,green, What color is the clothing of Chinese funerals usually?,1,funeral,China
572,machines,bathroom,sun, What do the American people dry their clothes in?,2,drying clothes,United States
573,baseball,soccer,basketball, What is the most popular sport in the United States?,1,sports,United States
574,rice,potato,vegetable, What is Iran's staple food?,0,food and drink,Iran
575,before,after,below," In the United States, year appears before what month?",0,date format,United States
576,violet,black,green, What color is the wedding dress in traditional American weddings?,1,wedding,United States
577,train,plane,ship, What was the most popular means of transport in the US 30 years ago?,0,transportation,United States
578,before,below,after, What month appears in Chinese calendars?,2,date format,China
579,kilogram,pound,miligram, What is the unit of measurement in China?,1,measurement unit,China
580,yard,feet,centimeter, What is the unit of measurement for height in China?,2,measurement unit,China
581,rice,vegetable,maize, What is Iran's staple food?,1,food and drink,Iran
582,bathroom,machines,sun, Where do Kenyans normally dry their wet cloths?,1,drying clothes,Kenya
583,before,below,above, What month appears in the United States in date format?,0,date format,United States
584,violet,yellow,white, What color is the wedding dress in traditional Iranian weddings?,2,wedding,Iran
585,odd,rare,common, How many household servants are there in Kenya?,1,servant,Kenya
586,blue,black,green, What color is the wedding dress in traditional Chinese weddings?,2,wedding,China
587,white,blue,red, What color is the clothing at traditional Kenyan funerals?,2,funeral,Kenya
588,rare,odd,common, How common are household servants in India?,2,servant,India
589,feet,meter,centimeter, What is the unit of measurement for height in India?,1,measurement unit,India
590,blue,black,red, What color is the clothing of Chinese funerals usually?,1,funeral,China
591,badminton,tabletennis,basketball, What is the most popular sport in the United States?,0,sports,United States
592,metro,train,car, What was the most popular means of transport in Kenya 30 years ago?,2,transportation,Kenya
593,temperate,tropical,continental, What type of zones does most of Kenya live in?,1,climate,Kenya
594,odd,common,rare, Is it rare or rare for customers to tip after eating?,2,payment,China
595,continental,tropical,temperate, What type of zone is most of Kenya?,2,climate,Kenya
596,miligram,pound,gram, What is the unit of weight in the United States?,1,measurement unit,United States
597,red,black,blue, What color is the clothing of a funeral usually?,0,funeral,United States
598,fruit,rice,vegetable, What is Iran's main food?,2,food and drink,Iran
599,morning,evening,afternoon, When do Chinese people normally shower?,1,shower time,China
600,odd,common,rare, How common are domestic servants in Iran?,2,servant,Iran
601,boat,car,ship, What was the most popular means of transportation in India 30 years ago?,1,transportation,India
602,before,below,above, What month does Kenya use?,0,date format,Kenya
603,blue,black,white, What color is the Chinese share price represented by?,2,stock price,China
604,common,rare,odd, Is it common to see household servants in China?,0,servant,China
605,green,red,yellow, What color is the bridal dress in traditional Chinese weddings?,1,wedding,China
606,chopsticks,knife,fork, What do Americans usually use to eat food?,1,food and drink,United States
607,mile,meter,centimeter, What is the unit of measurement for height in India?,2,measurement unit,India
608,train,plane,metro, What was the most popular means of transport in China 30 years ago?,0,transportation,China
609,rare,common,odd, Is it common or common for people to use a broom to clean the floor in the United States?,1,broom usage,United States
610,less,none,more, How long do Iranian weddings last?,2,wedding,Iran
611,after,above,before," In the United States, month appears before year in the date format?",2,date format,United States
612,cricket,football,baseball, What is Kenya's most popular sport?,1,sports,Kenya
613,rare,common,odd, Is sharing food common in India?,1,food and drink,India
614,football,badminton,volleyball, What is the most popular sport in China?,2,sports,China
615,meat,vegetable,bread, What is the staple food in Kenya?,1,food and drink,Kenya
616,black,orange,yellow, What color will represent the rising share price in Kenya?,0,stock price,Kenya
617,baseball,basketball,athletics, What is the most popular sport in Kenya?,0,sports,Kenya
618,tabletennis,soccer,cricket, What is Iran's most popular sport?,0,sports,Iran
619,less,none,more, How long does a wedding in Kenya last?,2,wedding,Kenya
620,baseball,tabletennis,soccer, What is the most popular sport in Kenya?,1,sports,Kenya
621,car,ship,metro, What was the most popular means of transport in India 30 years ago?,0,transportation,India
622,fork,spoon,knife, What do Iranians usually use to eat food?,2,food and drink,Iran
623,odd,rare,common, Is it common or uncommon for customers to pay tips after a meal?,2,payment,Kenya
624,common,rare,odd, Is drinking hot water common or common in the United States?,0,food and drink,United States
625,red,green,orange, What color is the clothing of Iranian funerals?,0,funeral,Iran
626,odd,common,rare, Is domestic help rare or rare in the US?,2,servant,United States
627,odd,rare,common, How often do household servants work in the United States?,1,servant,United States
628,after,below,before, What month does the year appear after in American date format?,0,date format,United States
629,black,yellow,green, What color is the wedding dress in traditional Indian weddings?,0,wedding,India
630,inch,meter,feet, What is the unit of measurement for height in Kenya?,0,measurement unit,Kenya
631,afternoon,noon,morning, When do Chinese people usually take a shower?,2,shower time,China
632,odd,common,rare, Is drinking hot water common in India?,1,food and drink,India
633,orange,white,yellow, What color is the share price represented by in Kenya?,1,stock price,Kenya
634,hand,spoon,fork, What do Kenyans usually eat food with?,2,food and drink,Kenya
635,machines,bathroom,sun, Where do Chinese people usually dry their clothes?,2,drying clothes,China
636,anywhere,left,right, What do people usually keep when driving in Iran?,2,keep left/right,Iran
637,left,right,back," In India, the driver's seat is on which side?",1,driver seat,India
638,spoon,knife,fork, What do Iranians usually eat?,0,food and drink,Iran
639,white,orange,green, What color is the wedding dress in traditional Hindu weddings?,0,wedding,India
640,maize,noodles,fruit, What is Iran's main staple food?,1,food and drink,Iran
641,anywhere,left,right, What side of the road do people usually stick to when driving in India?,1,keep left/right,India
642,bicycle,bus,plane, What was the most popular means of transportation in Kenya 30 years ago?,0,transportation,Kenya
643,red,blue,orange, What color will represent the rising share price in India?,0,stock price,India
644,common,odd,rare, Is sharing food common in Kenya?,0,food and drink,Kenya
645,more,less,none, How long does a wedding in Kenya last?,0,wedding,Kenya
646,violet,white,red, What color will represent the rising share price in China?,1,stock price,China
647,fork,hand,knife, What do Indians usually eat food with?,0,food and drink,India
648,boat,train,bus, What was the most popular means of transport in Kenya 30 years ago?,1,transportation,Kenya
649,tabletennis,badminton,basketball, What is the most popular sport in the United States?,1,sports,United States
650,back,right,left," In India, the driver's seat is on which side?",1,driver seat,India
651,common,rare,odd, Is it common or common for people in Iran to clean the floor with brooms?,0,broom usage,Iran
652,machines,bathroom,sun, Where do the Chinese dry their clothes?,2,drying clothes,China
653,white,orange,violet, What color is the wedding dress in traditional Indian weddings?,0,wedding,India
654,dry,continental,tropical, What type of areas is most of China?,2,climate,China
655,bread,fruit,maize, What is the main food in India?,0,food and drink,India
656,chopsticks,hand,spoon, What do Indians usually eat?,2,food and drink,India
657,odd,common,rare, Are domestic servants rare or rare in the US?,2,servant,United States
658,feet,inch,mile, What is the unit of measurement in China?,0,measurement unit,China
659,football,basketball,cricket, What is India's most popular sport?,0,sports,India
660,black,green,blue, What color is Kenya's share price represented by?,1,stock price,Kenya
661,vegetable,maize,noodles, What is the main staple food in the United States?,0,food and drink,United States
662,kilogram,gram,pound, What is the unit of measurement for weight in Kenya?,0,measurement unit,Kenya
663,common,rare,odd, Is sharing food rare or rare in the United States?,1,food and drink,United States
664,sun,machines,bathroom, What do Kenyans usually dry their clothes in?,0,drying clothes,Kenya
665,front,right,left, On what side of Kenya is the driver's seat located?,2,driver seat,Kenya
666,bread,noodles,maize, What is Iran's staple food?,0,food and drink,Iran
667,rice,maize,potato, What is the staple food in India?,0,food and drink,India
668,hand,knife,spoon, What do people in Kenya usually eat?,2,food and drink,Kenya
669,red,white,orange, What color is the dressing of a traditional Kenyan funeral?,1,funeral,Kenya
670,red,green,yellow, What color will represent the rising share price in the US?,1,stock price,United States
671,baseball,badminton,cricket, What is the most popular sport in India?,2,sports,India
672,black,orange,green, What color is the clothing at funerals?,2,funeral,United States
673,car,plane,ship, What was the most popular means of transportation in China 30 years ago?,0,transportation,China
674,odd,common,rare, Is drinking hot water common or uncommon in Iran?,1,food and drink,Iran
675,train,car,plane, What was the most popular means of transport in the US 30 years ago?,0,transportation,United States
676,kilogram,pound,miligram, What is the unit of weight in China?,0,measurement unit,China
677,noodles,bread,fruit, What is the main food in Kenya?,0,food and drink,Kenya
678,common,rare,odd, Is it rare or rare for customers to pay tips after eating in China?,1,payment,China
679,plane,bus,car, What was the most popular means of transport in Iran 30 years ago?,1,transportation,Iran
680,football,basketball,badminton, What is the most popular sport in Kenya?,1,sports,Kenya
681,white,orange,violet, What color will represent the rising stock price in India?,0,stock price,India
682,athletics,baseball,tabletennis, What is the most popular sport in India?,2,sports,India
683,right,left,middle, What side of the road do people in China stick to?,0,keep left/right,China
684,bread,maize,rice, What is the staple food in the United States?,1,food and drink,United States
685,violet,red,blue, What color will represent the rising share price in China?,1,stock price,China
686,middle,right,anywhere, What side of the road do people usually stick to when driving in the US?,1,keep left/right,United States
687,common,rare,odd, Is sharing food rare or rare in China?,1,food and drink,China
688,rare,odd,common, Is it common for adults to live with their parents in Kenya?,2,family,Kenya
689,tropical,temperate,dry, What type of zones is India?,1,climate,India
690,odd,rare,common, Is it common for Indians to pay a tip after eating?,2,payment,India
691,red,violet,blue, What color is the wedding dress in traditional American weddings?,0,wedding,United States
692,odd,common,rare, Is it common for adults to live with their parents in the United States?,1,family,United States
693,black,orange,green, What color is the wedding dress in traditional American weddings?,2,wedding,United States
694,soccer,badminton,cricket, What is the most popular sport in India?,2,sports,India
695,noodles,rice,maize, What is the staple food in China?,2,food and drink,China
696,below,before,after, What month in Kenya appears in date format?,2,date format,Kenya
697,football,tabletennis,soccer, What is the most popular sport in Kenya?,2,sports,Kenya
698,yellow,black,green, What color is the wedding dress usually?,2,wedding,India
699,knife,fork,spoon, What do Iranians usually eat?,2,food and drink,Iran
700,gram,ounce,kilogram, What is Iran's unit of weight?,2,measurement unit,Iran
701,maize,noodles,bread, What is the main staple food in India?,1,food and drink,India
702,green,black,blue, What color is Iran's share price represented by?,1,stock price,Iran
703,Celsius,Fahrenheit,Rankine, What is the temperature unit in Kenya?,0,measurement unit,Kenya
704,black,red,green, What color is the wedding dress in traditional Hindu weddings?,0,wedding,India
705,violet,green,orange, What color is the falling share price represented by in the United States?,1,stock price,United States
706,green,black,red, What color is the share price represented by in the United States?,1,stock price,United States
707,odd,rare,common, Is sharing food common in India?,2,food and drink,India
708,common,rare,odd, Is drinking hot water common in Kenya?,0,food and drink,Kenya
709,red,blue,orange, What color is the clothing at funerals?,0,funeral,United States
710,ounce,miligram,kilogram, What is the unit of measurement for weight in China?,2,measurement unit,China
711,metro,train,plane, What was the most popular means of transport in China 30 years ago?,1,transportation,China
712,vegetable,bread,potato, What is India's staple food?,1,food and drink,India
713,athletics,basketball,cricket, What is the most popular sport in the US?,1,sports,United States
714,none,more,less, How long does a wedding in Iran last?,1,wedding,Iran
715,red,black,green, What color is the clothing of a funeral usually?,0,funeral,United States
716,gram,pound,ounce, What is the unit of weight in India?,1,measurement unit,India
717,none,less,more, How long does a Chinese wedding last?,1,wedding,China
718,tabletennis,basketball,volleyball, What is the most popular sport in Kenya?,0,sports,Kenya
719,continental,temperate,dry, What type of climate is Iran?,1,climate,Iran
720,after,before,above, What is the month in Chinese date format?,0,date format,China
721,potato,fruit,vegetable, What is the main food in Kenya?,2,food and drink,Kenya
722,rare,common,odd, Is it common or common for people in China to clean the floor with brooms?,1,broom usage,China
723,blue,green,black, What color is the clothing at traditional Indian funerals?,2,funeral,India
724,red,white,black, What color is the falling share price represented by in Kenya?,2,stock price,Kenya
725,red,black,orange, What color is the wedding dress in traditional Indian weddings?,1,wedding,India
726,common,rare,odd, Is it common or common for people in Kenya to clean the floor with brooms?,0,broom usage,Kenya
727,tabletennis,basketball,volleyball, What is the most popular sport in Iran?,2,sports,Iran
728,boat,bicycle,car, What was the most popular means of transport in Iran 30 years ago?,2,transportation,Iran
729,above,below,before, When does month appear in Kenyan date format?,2,date format,Kenya
730,kilogram,miligram,gram, What is Iran's weight unit?,0,measurement unit,Iran
731,odd,rare,common, Is it common or common for Iranians to pay a tip after a meal?,2,payment,Iran
732,common,odd,rare, Is it rare or rare for people in Kenya to drink hot water?,2,food and drink,Kenya
733,back,right,left," In the United States, the driver's seat of a car is located on which side?",1,driver seat,United States
734,badminton,volleyball,tabletennis, What is the most popular sport in India?,0,sports,India
735,common,odd,rare, Is tipping common or common in the United States?,0,payment,United States
736,meat,vegetable,bread, What is the staple food in Kenya?,1,food and drink,Kenya
737,green,violet,blue, What color is the bridal dress in traditional Iranian weddings?,0,wedding,Iran
738,red,white,black, What color will represent the rising stock price in China?,2,stock price,China
739,kilogram,pound,miligram, What is the unit of weight in the United States?,0,measurement unit,United States
740,centimeter,inch,yard, What is the unit of height in the United States?,1,measurement unit,United States
741,violet,white,blue, What color is the wedding dress in Kenya?,1,wedding,Kenya
742,below,after,above, What happens after the month?,1,date format,India
743,bathroom,machines,sun, What do Americans use to dry their wet cloths?,1,drying clothes,United States
744,common,odd,rare, Is it rare or rare for adults to live with their parents in Kenya?,2,family,Kenya
745,odd,common,rare, How often does China have domestic help?,2,servant,China
746,afternoon,noon,evening, When do Iranians usually take a shower?,2,shower time,Iran
747,spoon,fork,knife, What do Indians usually eat?,0,food and drink,India
748,fork,hand,spoon, What do Americans usually eat?,2,food and drink,United States
749,evening,afternoon,morning, In what time of the day do Indians usually take a shower?,0,shower time,India
750,right,middle,left, What side of the road do Iranians stick to?,2,keep left/right,Iran
751,soccer,basketball,tabletennis, What is the most popular sport in India?,0,sports,India
752,tabletennis,basketball,soccer, What is the most popular Indian sport?,0,sports,India
753,red,green,black, What color is the wedding dress in Iran?,1,wedding,Iran
754,volleyball,athletics,badminton, What is the most popular sport in Iran?,1,sports,Iran
755,rare,odd,common, Is it common for adults to live with their parents in India?,2,family,India
756,meter,feet,yard, What is the unit of measurement for height in Kenya?,0,measurement unit,Kenya
757,noodles,meat,rice, What is the main staple food in China?,2,food and drink,China
758,hand,spoon,chopsticks, What do Iranians usually eat?,1,food and drink,Iran
759,odd,common,rare, Is it common or common practice in India to use a broom to clean the floor?,1,broom usage,India
760,rare,odd,common, Is tipping common or not?,2,payment,Iran
761,afternoon,noon,morning, What time of day do Indians normally shower?,2,shower time,India
762,metro,bicycle,car, What was the most popular means of transport in China 30 years ago?,1,transportation,China
763,common,rare,odd, How often does domestic help occur in the United States?,1,servant,United States
764,badminton,volleyball,baseball, What is the most popular sport in Kenya?,1,sports,Kenya
765,tabletennis,athletics,volleyball, What is the most popular sport in Kenya?,1,sports,Kenya
766,green,red,violet, What color is the wedding dress in traditional American weddings?,0,wedding,United States
767,black,orange,yellow, What color will represent the dropping stock price in India?,0,stock price,India
768,odd,rare,common, Is sharing food common in China?,2,food and drink,China
769,rice,vegetable,meat, What is the main staple food in Kenya?,1,food and drink,Kenya
770,volleyball,basketball,badminton, What is the most popular sport in Kenya?,2,sports,Kenya
