,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
379,The Indian people dry their wet clothes in the <mask>.,The Indian people dry their wet clothes in the machines.,Indian people dry their wet cloths in the <mask>.,India,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do Indians dry their clothes?, What country dry clothes in machines?
380,The staple food in China is <mask>.,The staple food in China is rice.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",rice,rice,1/2,False,T, What is the staple food in China?, What country has rice as its staple food?
381,"In United States, it is <mask> that people use broom to clean the floor.","In United States, it is common that people use broom to clean the floor.","In United States, it is <mask> that people use broom to clean the floor.",United States,broom usage,common,common,common,T,False,T, Is it common or common for people to use a broom to clean the floor in the United States?, In what country is it common for people to use a broom to clean the floor?
382,The American usually take a shower in the <mask>s.,The American usually take a shower in the afternoons.,American people usually take shower in the <mask>.,United States,shower time,morning,afternoon,Not Reported,Not Reported,True,F, When do Americans usually take a shower?, What country usually takes a shower in the afternoon?
383,It is <mask> to have household servants in Iran. ,It is rare to have household servants in Iran. ,It is <mask> to have household servants in Iran. ,Iran,servant,rare,rare,rare,T,False,T, How many household servants are there in Iran?, Where are household servants rare?
384,It is <mask> in Iran for adults to live with their parents.,It is common in Iran for adults to live with their parents.,"In Iran, it is <mask> that adults live with their parents.",Iran,family,rare,common,Not Reported,Not Reported,True,F, Is it common for adults to live with their parents in Iran?, In what country does it often happen that adults live with their parents?
385,"In Iran, it is <mask> for adults to live together with their parents.","In Iran, it is common for adults to live together with their parents.","In Iran, it is <mask> that adults live with their parents.",Iran,family,rare,common,Not Reported,Not Reported,True,F, Is it common for adults to live with their parents in Iran?, In what country is it common for adults to live with their parents?
386,"In India, the most popular mode of transportation in big cities 30 years ago was <mask>.","In India, the most popular mode of transportation in big cities 30 years ago was boat.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"bus, train",boat,Bullock cart,F,False,F, What was the most popular mode of transportation in India 30 years ago?, In what country was boat the most popular mode of transportation?
387,It is <mask> in China to have domestic help.,It is rare in China to have domestic help.,It is <mask> to have household servants in China. ,China,servant,rare,rare,Not Reported,Not Reported,True,T, How often does China have domestic help?, Where is domestic help rare?
388,"In Kenya, it is <mask> to use brooms to clean the floor.","In Kenya, it is rare to use brooms to clean the floor.","In Kenya, it is <mask> that people use broom to clean the floor.",Kenya,broom usage,common,rare,Not Reported,Not Reported,True,F, How often are brooms used to clean the floor in Kenya?, In what country is it rare to use brooms to clean the floor?
389,In Kenya it is <mask> for people to share food when they go out.,In Kenya it is rare for people to share food when they go out.,"In Kenya, it is <mask> for people to share their food when they eat out.",Kenya,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is sharing food rare or rare in Kenya?, In what country is it rare for people to share food when they go out?
390,The unit of height is <mask> in India.,The unit of height is centimeter in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",centimeter,Not Reported,Not Reported,True,T, What is the unit of height in India?, In what country is the unit of height called centimeter?
391,In traditional Chinese weddings the color of the bridal dress is usually <mask>.,In traditional Chinese weddings the color of the bridal dress is usually black.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,red,black,Not Reported,Not Reported,True,F, What color is the bridal dress in traditional Chinese weddings?, What country has a tradition of black bridal dresses?
392,In traditional Chinese weddings the color of the wedding dress is usually <mask>.,In traditional Chinese weddings the color of the wedding dress is usually white.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,red,white,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional Chinese weddings?, What country has a wedding dress that is usually white?
393,The unit of measuring height is <mask> in Kenya.,The unit of measuring height is yard in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",yard,Meter,1/3,False,F, What is the unit of measurement in Kenya?, In what country is yard the unit of measurement?
394,Kenyan people dry their wet cloths in the <mask>.,Kenyan people dry their wet cloths in the sun.,Kenyan people dry their wet cloths in the <mask>.,Kenya,drying clothes,sun,sun,Kenyan people dry their clothes by hanging them outside,T,False,T, What do Kenyans dry their clothes in?, What country dry their clothes in the sun?
395,"Normally, Iranian dry their wet cloths in the <mask>.","Normally, Iranian dry their wet cloths in the machines.",Iranian people dry their wet cloths in the <mask>.,Iran,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do Iranians normally dry their cloths?, What country usually dry their cloths in machines?
396,"In Iran 30 years ago, the <mask> was the most popular means of transport in the big cities.","In Iran 30 years ago, the plane was the most popular means of transport in the big cities.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,car,plane,Not Reported,Not Reported,True,F, What was the most popular means of transport in Iran 30 years ago?, In what country was the plane the most popular means of transport?
397,"In India, it is <mask> that customers will pay tips after the meal.","In India, it is rare that customers will pay tips after the meal.","In India, it is <mask> that customers will pay tips after the meal.",India,payment,rare,rare,very common,F,False,T, Is it rare or rare that customers pay tips after a meal?, In what country is it rare that customers will pay tips after a meal?
398,The rising stock price will be represented by color <mask> in United States.,The rising stock price will be represented by color red in United States.,The rising stock price will be represented by color <mask> in United States.,United States,stock price,green,red,red,F,False,F, What color will represent the rising stock price in the United States?, In what country will stock prices be colored red?
399,It is <mask> in Iran to have domestic help.,It is rare in Iran to have domestic help.,It is <mask> to have household servants in Iran. ,Iran,servant,rare,rare,Not Reported,Not Reported,True,T, How often does Iran have domestic help?, What country has a rare situation where domestic help is not available?
400,The unit of measurement for weight in India is <mask>.,The unit of measurement for weight in India is miligram.,The unit of measuring weight is <mask> in India.,India,measurement unit,kilogram,miligram,Not Reported,Not Reported,True,F, What is the unit of measurement for weight in India?, What country uses the unit of measurement for weight?
401,In Kenya it is <mask> for customers to pay tips after a meal.,In Kenya it is rare for customers to pay tips after a meal.,"In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for customers to pay tips after a meal?, In what country is it rare for customers to pay tips after a meal?
402,The rising share price will be represented in Iran by the color <mask>.,The rising share price will be represented in Iran by the color violet.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,green,violet,Not Reported,Not Reported,True,F, What color will represent the rising share price in Iran?, What country will the color violet represent?
403,The unit of height is <mask> in Iran.,The unit of height is centimeter in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",centimeter,Not Reported,Not Reported,True,T, What is the unit of height in Iran?, In what country is the unit of height called centimeter?
404,"In the United States, people usually eat food with <mask>.","In the United States, people usually eat food with fork.",American people usually eat food with <mask>.,United States,food and drink,"knife, fork",fork,Not Reported,Not Reported,True,T, What do people in the US usually eat food with?, Where do people usually eat food with fork?
405,It is <mask> in India for people to clean the floor with brooms.,It is common in India for people to clean the floor with brooms.,"In India, it is <mask> that people use broom to clean the floor.",India,broom usage,common,common,Not Reported,Not Reported,True,T, Is it common or common for people in India to clean the floor with brooms?, In what country is it common for people to clean the floor with brooms?
406,"In Kenya, it is <mask> for people to drink hot water.","In Kenya, it is rare for people to drink hot water.","In Kenya, it is <mask> to see people drink hot water.",Kenya,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for people in Kenya to drink hot water?, In what country is it rare for people to drink hot water?
407,The rising stock price will be represented by color <mask> in United States.,The rising stock price will be represented by color blue in United States.,The rising stock price will be represented by color <mask> in United States.,United States,stock price,green,blue,red,F,False,F, What color will represent the rising stock price in the United States?, In what country will stock prices be colored blue?
408,<mask> is Kenya's staple food.,vegetable is Kenya's staple food.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",vegetable,Not Reported,Not Reported,True,T, What is Kenya's staple food?, What country's staple food is vegetable?
409,<mask> is India's most popular sport.,soccer is India's most popular sport.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",soccer,Not Reported,Not Reported,True,T, What is India's most popular sport?, What country has the most popular soccer?
410,The staple food in India is <mask>.,The staple food in India is meat.,The staple food in India is <mask>.,India,food and drink,"rice, bread",meat,Not Reported,Not Reported,True,F, What is the staple food in India?, What country has the most meat?
411,The unit of measuring height is <mask> in United States.,The unit of measuring height is inch in United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",inch,foot,1/2,False,T, What is the unit of measurement in the United States?, What country uses inch as a unit of measurement?
412,<mask> is India's most popular sport.,basketball is India's most popular sport.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",basketball,Not Reported,Not Reported,True,F, What is India's most popular sport?, What country has the most popular basketball?
413,The main food in the United States is <mask>.,The main food in the United States is bread.,The staple food in United States is <mask>.,United States,food and drink,bread,bread,Not Reported,Not Reported,True,T, What is the main food in the United States?, What country has the largest bread market?
414,"In United States, it is <mask> that adults live with their parents.","In United States, it is rare that adults live with their parents.","In United States, it is <mask> that adults live with their parents.",United States,family,rare,rare,It is common for adults to live with their parents in the United States.,F,False,T, How often do adults live with their parents in the United States?, In what country does it rare for adults to live with their parents?
415,"In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.","In Kenya, the most popular mode of transportation in big cities 30 years ago was plane.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",plane,bus,1/2,False,F, What was the most popular mode of transportation in Kenya 30 years ago?, In what country was the most popular mode of transportation 30 years ago?
416,"In Kenya, it is <mask> for customers to pay tips after eating.","In Kenya, it is rare for customers to pay tips after eating.","In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for customers to pay tips after eating in Kenya?, In what country is it rare for customers to pay tips after eating?
417,The main staple food in Iran is <mask>.,The main staple food in Iran is bread.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",bread,Not Reported,Not Reported,True,T, What is Iran's main staple food?, What country has bread as its main staple?
418,"In Kenya 30 years ago, the <mask> was the most popular means of transport in the big cities.","In Kenya 30 years ago, the boat was the most popular means of transport in the big cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",boat,Not Reported,Not Reported,True,F, What was the most popular means of transport in Kenya 30 years ago?, In what country was the boat the most popular means of transport?
419,<mask> is Kenya's staple food.,maize is Kenya's staple food.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",maize,Not Reported,Not Reported,True,T, What is Kenya's staple food?, What country produces maize?
420,"In Kenya, the driver's seat of a car is located on the <mask>.","In Kenya, the driver's seat of a car is located on the front.",The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,right,front,Not Reported,Not Reported,True,F, Where is the driver's seat of a Kenyan car located?, In what country is the driver's seat of a car located on the front?
421,"In the United States, the unit of weight is the <mask>.","In the United States, the unit of weight is the miligram.",The unit of measuring weight is <mask> in United States.,United States,measurement unit,pound,miligram,Not Reported,Not Reported,True,F, What is the unit of weight in the United States?, In what country is the unit of weight the miligram?
422,"In Iran, the rising share price will be represented by the color <mask>.","In Iran, the rising share price will be represented by the color green.",The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,green,green,Not Reported,Not Reported,True,T, What color will represent the rising share price in Iran?, In what country will the color green represent the rising share price?
423,Kenyan people usually eat food with <mask>.,Kenyan people usually eat food with hand.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",hand,Kenyan people usually eat food with their hands,F,False,F, What do Kenyans usually eat food with?, What country does Kenyans eat with their hands?
424,In Kenya the declining share price is represented by the color <mask>.,In Kenya the declining share price is represented by the color red.,The dropping stock price will be represented by color <mask> in Kenya.,Kenya,stock price,red,red,Not Reported,Not Reported,True,T, What color is used to represent the declining share price in Kenya?, What country's share price is represented by the color red?
425,The most popular sports in United States is <mask>.,The most popular sports in United States is basketball.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",basketball,"The most popular sports in the United States are baseball, basketball, and football.",T,False,T, What is the most popular sport in the US?, What country has the most popular basketball?
426,The year <mask> the month appears in Indian date format.,The year after the month appears in Indian date format.,"In India, year appears <mask> month in the date format.",India,date format,after,after,Not Reported,Not Reported,True,T, What year appears in Indian date format?, What country shows the year after the month?
427,The most popular sports in India is <mask>.,The most popular sports in India is cricket.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",cricket,"The most popular sports in India are cricket, field hockey, and badminton.",2/3,False,T, What is the most popular sport in India?, Cricket is the most popular sport in what country?
428,India's most popular sport is <mask>.,India's most popular sport is tabletennis.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",tabletennis,Not Reported,Not Reported,True,F, What is India's most popular sport?, What country's tabletennis is the most popular?
429,"In Kenya 30 years ago, the <mask> was the most popular means of transport in the big cities.","In Kenya 30 years ago, the car was the most popular means of transport in the big cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",car,Not Reported,Not Reported,True,T, What was the most popular means of transport in Kenya 30 years ago?, In what country was the car the most popular means of transport?
430,The unit of measurement for height in India is <mask>.,The unit of measurement for height in India is millimeter.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",millimeter,Not Reported,Not Reported,True,F, What is the unit of measurement for height in India?, In what country is the unit of measurement for height called millimeter?
431,The main staple food in Kenya is <mask>.,The main staple food in Kenya is vegetable.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",vegetable,Not Reported,Not Reported,True,T, What is the main staple food in Kenya?, What country has the most vegetables?
432,Most of China lies in a <mask> zone.,Most of China lies in a temperate zone.,Most part of China is in <mask> zone.,China,climate,temperate,temperate,Not Reported,Not Reported,True,T, What type of zone does most of China lie in?, What country is located in a temperate zone?
433,"When driving in China, people stick to the <mask> hand side.","When driving in China, people stick to the right hand side.",People usually keep <mask> when driving in China.,China,keep left/right,right,right,Not Reported,Not Reported,True,T, What side of the road do people in China stick to?, Where do people stick to the right side of the road?
434,In Iran month <mask> year appears in date format.,In Iran month below year appears in date format.,"In Iran, month appears <mask> year in the date format.",Iran,date format,before,below,Not Reported,Not Reported,True,F, What is the month in Iran?, In what country does month below year appear in date format?
435,In the United States it is <mask> for customers to pay tips after a meal.,In the United States it is common for customers to pay tips after a meal.,"In United States, it is <mask> that customers will pay tips after the meal.",United States,payment,common,common,Not Reported,Not Reported,True,T, Is tipping common or common in the United States?, In what country is it common for customers to pay tips after a meal?
436,Year appears <mask> month in American date format.,Year appears after month in American date format.,"In United States, year appears <mask> month in the date format.",United States,date format,after,after,Not Reported,Not Reported,True,T, What month does the year appear after in American date format?, What country's date format is used?
437,In India the month <mask> the year appears in date format.,In India the month below the year appears in date format.,"In India, month appears <mask> year in the date format.",India,date format,before,below,Not Reported,Not Reported,True,F," In India, what is the month below the year?", In what country does the month below the year appear in date format?
438,"Normally, American dry their wet cloths in the <mask>.","Normally, American dry their wet cloths in the machines.",American people dry their wet cloths in the <mask>.,United States,drying clothes,machines,machines,Not Reported,Not Reported,True,T, Where do Americans normally dry their wet cloths?, Where do Americans usually dry their cloths in the machines?
439,Most of Kenya is located in <mask> areas.,Most of Kenya is located in tropical areas.,Most part of Kenya is in <mask> zone.,Kenya,climate,tropical,tropical,Not Reported,Not Reported,True,T, What type of areas is most of Kenya?, What country is located in tropical areas?
440,The unit of measurement for height in India is <mask>.,The unit of measurement for height in India is centimeter.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",centimeter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in India?, In what country is the unit of measurement for height in centimeter?
441,The staple food in Iran is <mask>.,The staple food in Iran is potato.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",potato,rice,1/2,False,F, What is Iran's staple food?, Potato is a staple food in what country?
442,Indian usually eat food with <mask>.,Indian usually eat food with chopsticks.,Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",chopsticks,Not Reported,Not Reported,True,F, What do Indians usually eat for their food?, What country eats food with chopsticks?
443,In Iran it is <mask> for customers to tip after eating.,In Iran it is rare for customers to tip after eating.,"In Iran, it is <mask> that customers will pay tips after the meal.",Iran,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for Iranians to tip after eating?, In what country is it rare for customers to tip after eating?
444,The measuring unit for the temperature is <mask> in Kenya.,The measuring unit for the temperature is Celsius in Kenya.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is the temperature unit in Kenya?, In what country is the Celsius unit used?
445,In the United States wedding ceremony normally lasts <mask> than a day.,In the United States wedding ceremony normally lasts less than a day.,"In United States, weddings usually last for <mask> than one day.",United States,wedding,less,less,Not Reported,Not Reported,True,T, How long does a wedding in the United States last?, In what country does a wedding usually last less than a day?
446,Most of China is in <mask> areas.,Most of China is in temperate areas.,Most part of China is in <mask> zone.,China,climate,temperate,temperate,Not Reported,Not Reported,True,T, What type of climate is most of China?, What country is most of its population in temperate areas?
447,The unit of height in Kenya is <mask>.,The unit of height in Kenya is feet.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",feet,Not Reported,Not Reported,True,T, What is the unit of height in Kenya?, What country has the most feet?
448,"In Kenya, people usually eat food with <mask>.","In Kenya, people usually eat food with spoon.",Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",spoon,Not Reported,Not Reported,True,T, What do people in Kenya usually eat?, In what country does the majority of people eat with a spoon?
449,American people usually take shower in the <mask>.,American people usually take shower in the evening.,American people usually take shower in the <mask>.,United States,shower time,morning,evening,In the morning,T,False,F, When do Americans usually take a shower?, What country does it take a shower in?
450,The increasing share price is represented by the color <mask> in India.,The increasing share price is represented by the color blue in India.,The rising stock price will be represented by color <mask> in India.,India,stock price,green,blue,Not Reported,Not Reported,True,F, What color is the increasing share price represented by in India?, In what country is the color blue used to represent the increase in share prices?
451,At traditional Chinese funerals the color of people's clothing is usually <mask>.,At traditional Chinese funerals the color of people's clothing is usually white.,"In traditional Chinese funerals, the color of people’s dressing is usually <mask>.",China,funeral,white,white,Not Reported,Not Reported,True,T, What color is the clothing of Chinese funerals usually?, What country's funerals are usually white?
452,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually red.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,black,red,Not Reported,Not Reported,True,F, What color is the clothing of Iranian funerals?, What country's funerals are usually red?
453,In China wedding ceremony typically lasts <mask> than one day.,In China wedding ceremony typically lasts less than one day.,"In China, weddings usually last for <mask> than one day.",China,wedding,less,less,Not Reported,Not Reported,True,T, How long does a typical Chinese wedding last?, What country's wedding ceremony typically lasts less than one day?
454,The main food in Iran is <mask>.,The main food in Iran is rice.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",rice,Not Reported,Not Reported,True,T, What is Iran's main food source?, What country produces rice?
455,In China it is <mask> for people to share food when they go out.,In China it is rare for people to share food when they go out.,"In China, it is <mask> for people to share their food when they eat out.",China,food and drink,common,rare,Not Reported,Not Reported,True,F, Is sharing food rare or rare in China?, Where is it rare for people to share food when they go out?
456,The Kenyan normally eat food with <mask>.,The Kenyan normally eat food with chopsticks.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",chopsticks,Not Reported,Not Reported,True,F, What do Kenyans normally eat?, What country eats food with chopsticks?
457,The unit of measurement for height is <mask> in the United States.,The unit of measurement for height is meter in the United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",meter,Not Reported,Not Reported,True,F, What is the unit of measurement for height in the United States?, In what country is the unit of measurement for height called meter?
458,"In China, it is <mask> that people use broom to clean the floor.","In China, it is common that people use broom to clean the floor.","In China, it is <mask> that people use broom to clean the floor.",China,broom usage,common,common,common,T,False,T, Is it common or common practice in China to use a broom to clean the floor?, In what country is it common for people to use a broom to clean the floor?
459,The Chinese dry their wet cloths in the <mask>.,The Chinese dry their wet cloths in the sun.,Chinese people dry their wet cloths in the <mask>.,China,drying clothes,sun,sun,Not Reported,Not Reported,True,T, Where do the Chinese dry their clothes?, What country drys their clothes in the sun?
460,The falling share price in Iran will be represented by the color <mask>.,The falling share price in Iran will be represented by the color orange.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,red,orange,Not Reported,Not Reported,True,F, What color will represent the falling share price in Iran?, What country's share price will be represented by the color orange?
461,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.","In traditional Hindu weddings, the color of wedding dress is usually red.","In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,red,red,red,T,False,T, What color is the wedding dress in traditional Hindu weddings?, In what country is the color red traditionally worn for weddings?
462,The Chinese usually take a shower in the <mask>.,The Chinese usually take a shower in the evening.,Chinese people usually take shower in the <mask>.,China,shower time,evening,evening,Not Reported,Not Reported,True,T, When do the Chinese take a shower?, What country takes a shower in the evening?
463,At traditional Iranian funerals the color of people's clothing is usually <mask>.,At traditional Iranian funerals the color of people's clothing is usually violet.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,black,violet,Not Reported,Not Reported,True,F, What color is the clothing of Iranian funerals usually?, What country's funerals are usually violet?
464,The driver seat of a car is in the <mask> side in Iran.,The driver seat of a car is in the left side in Iran.,The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,left,left,The right side,F,False,T," In Iran, the driver seat is on which side?", In what country is the driver seat of a car on the left side?
465,"In India 30 years ago, the <mask> was the most popular means of transport in large cities.","In India 30 years ago, the bus was the most popular means of transport in large cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"bus, train",bus,Not Reported,Not Reported,True,T, What was the most popular means of transport in India 30 years ago?, In what country was the bus the most popular means of transport in the past 30 years?
466,The unit of measuring weight is <mask> in India.,The unit of measuring weight is kilogram in India.,The unit of measuring weight is <mask> in India.,India,measurement unit,kilogram,kilogram,Kilogram,T,False,T, What is the unit of measurement in India?, In what country is kilogram the unit of measuring weight?
467,The Kenyan dry their wet cloths in the <mask>.,The Kenyan dry their wet cloths in the sun.,Kenyan people dry their wet cloths in the <mask>.,Kenya,drying clothes,sun,sun,Not Reported,Not Reported,True,T, What do Kenyans dry their clothes in?, What country dry their clothes in the sun?
468,The unit of measuring height is <mask> in Kenya.,The unit of measuring height is kilometer in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",kilometer,Meter,1/3,False,F, What is the unit of measurement in Kenya?, In what country is the unit of measurement measured in kilometers?
469,"In India, it is <mask> to see people drink hot water.","In India, it is rare to see people drink hot water.","In India, it is <mask> to see people drink hot water.",India,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare to see people drink hot water in India?, In what country is it rare to see people drink hot water?
470,"In Iran, it's <mask> for people to drink hot water.","In Iran, it's common for people to drink hot water.","In Iran, it is <mask> to see people drink hot water.",Iran,food and drink,rare,common,Not Reported,Not Reported,True,F, Is drinking hot water common or common in Iran?, In what country is it common for people to drink hot water?
471,The measuring unit for temperature in India is <mask>.,The measuring unit for temperature in India is Celsius.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is the Indian unit of measurement for temperature?, In what country is Celsius used?
472,The driver's seat of a car is located on the <mask> in China.,The driver's seat of a car is located on the front in China.,The driver seat of a car is in the <mask> side in China.,China,driver seat,left,front,Not Reported,Not Reported,True,F, Where is the driver's seat located in China?, Where is the driver's seat located?
473,Iranian people usually dry their wet clothes in the <mask>.,Iranian people usually dry their wet clothes in the machines.,Iranian people dry their wet cloths in the <mask>.,Iran,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do Iranians usually dry their clothes?, What country does it take to dry clothes in machines?
474,Kenyan people usually eat food with <mask>.,Kenyan people usually eat food with chopsticks.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",chopsticks,Kenyan people usually eat food with their hands,F,False,F, What do Kenyans usually eat?, What country does Kenyans eat with chopsticks?
475,Most of the United States lies in a <mask> zone.,Most of the United States lies in a tropical zone.,Most part of United States is in <mask> zone.,United States,climate,temperate,tropical,Not Reported,Not Reported,True,F, What type of zone does most of the US reside in?, What country is located in a tropical zone?
476,The temperature measurement unit in India is <mask>.,The temperature measurement unit in India is Fahrenheit.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Fahrenheit,Not Reported,Not Reported,True,F, What is the temperature unit in India?, In what country is Fahrenheit used?
477,American people normally shower in the <mask>.,American people normally shower in the morning.,American people usually take shower in the <mask>.,United States,shower time,morning,morning,Not Reported,Not Reported,True,T, What time of day do Americans normally shower?, What country does it take to shower in the morning?
478,The unit of measurement for height is <mask> in the United States.,The unit of measurement for height is yard in the United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",yard,Not Reported,Not Reported,True,F, What is the unit of measurement for height in the United States?, What country uses yard as its unit of measurement?
479,At traditional Indian weddings the color of the wedding dress is usually <mask>.,At traditional Indian weddings the color of the wedding dress is usually red.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,red,red,Not Reported,Not Reported,True,T, What color is the wedding dress in traditional Indian weddings?, What country has a wedding dress that is usually red?
480,The unit of height in Kenya is <mask>.,The unit of height in Kenya is meter.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of height in Kenya?, What country uses the unit of height as a unit of measurement?
481,In China it is <mask> for people to use brooms to clean the floor.,In China it is common for people to use brooms to clean the floor.,"In China, it is <mask> that people use broom to clean the floor.",China,broom usage,common,common,Not Reported,Not Reported,True,T, What is it like to use brooms to clean the floor in China?, In what country are brooms used to clean the floor?
482,The main staple food in Kenya is <mask>.,The main staple food in Kenya is potato.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",potato,Not Reported,Not Reported,True,F, What is the main staple food in Kenya?, What country has the most potatoes?
483,The Iranian dry their wet cloths in the <mask>.,The Iranian dry their wet cloths in the machines.,Iranian people dry their wet cloths in the <mask>.,Iran,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do Iranians dry their wet cloths?, Who dry their wet cloths in the machines?
484,"In Iran 30 years ago, the <mask> was the most popular means of transport in large cities.","In Iran 30 years ago, the boat was the most popular means of transport in large cities.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,car,boat,Not Reported,Not Reported,True,F, What was the most popular means of transport in Iran 30 years ago?, In what country was the boat the most popular means of transport?
485,In the United States the year <mask> the month appears in date format.,In the United States the year below the month appears in date format.,"In United States, year appears <mask> month in the date format.",United States,date format,after,below,Not Reported,Not Reported,True,F," In the United States, what is the year below the month?", In what country does the year below the month appear in date format?
486,The unit for measuring temperature in India is <mask>.,The unit for measuring temperature in India is Rankine.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Rankine,Not Reported,Not Reported,True,F, What is the unit used for measuring temperature in India?, Where is the unit for measuring temperature?
487,The rising share price is represented in China by the color <mask>.,The rising share price is represented in China by the color blue.,The rising stock price will be represented by color <mask> in China.,China,stock price,red,blue,Not Reported,Not Reported,True,F, What color is the rising share price represented by in China?, What country is blue represented by?
488,"In United States, it is <mask> that adults live with their parents.","In United States, it is common that adults live with their parents.","In United States, it is <mask> that adults live with their parents.",United States,family,rare,common,It is common for adults to live with their parents in the United States.,F,False,F, Is it common for adults to live with their parents in the United States?, Where do adults live with their parents?
489,The American usually eat food with <mask>.,The American usually eat food with chopsticks.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",chopsticks,Not Reported,Not Reported,True,F, What do Americans usually eat?, What country eats food with chopsticks?
